Column	Count
Analog Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ 0.02	187
Exact Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ 0.02	187
Analog Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ 0.1	286
Exact Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ 0.1	187
Analog Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ 10.0	456
Exact Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ 10.0	187
Analog Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ 25.0	512
Exact Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ 25.0	187
Analog Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ 50.0	546
Exact Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ 50.0	187
Analog Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ 100.0	580
Exact Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ 100.0	187
Analog Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ 250.0	623
Exact Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ 250.0	187
Analog Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ 500.0	649
Exact Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ 500.0	187
Analog Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ inf	649
Exact Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ inf	187
Analog Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ 0.02	198
Exact Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ 0.02	198
Analog Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ 0.1	296
Exact Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ 0.1	198
Analog Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ 10.0	479
Exact Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ 10.0	198
Analog Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ 25.0	541
Exact Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ 25.0	198
Analog Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ 50.0	567
Exact Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ 50.0	198
Analog Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ 100.0	599
Exact Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ 100.0	198
Analog Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ 250.0	640
Exact Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ 250.0	198
Analog Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ 500.0	662
Exact Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ 500.0	198
Analog Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ inf	663
Exact Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ inf	198
Analog Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ 0.02	208
Exact Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ 0.02	208
Analog Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ 0.1	305
Exact Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ 0.1	208
Analog Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ 10.0	490
Exact Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ 10.0	208
Analog Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ 25.0	550
Exact Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ 25.0	208
Analog Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ 50.0	578
Exact Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ 50.0	208
Analog Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ 100.0	611
Exact Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ 100.0	208
Analog Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ 250.0	653
Exact Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ 250.0	208
Analog Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ 500.0	671
Exact Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ 500.0	208
Analog Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ inf	672
Exact Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ inf	208
Standard InChI GNPS iterated	650
