Index	Element	x	y	z
1	C	1.829782	1.76913	-1.572915
2	C	1.14724	3.000613	-1.492363
3	C	1.531783	3.910125	-0.501522
4	C	2.54611	3.621406	0.424274
5	C	3.188815	2.386154	0.341875
6	C	2.825142	1.462895	-0.661171
7	N	4.192032	1.853516	1.177274
8	C	3.774777	0.28448	-0.541787
9	C	4.093062	0.382199	0.98745
10	C	3.308238	-1.160769	-0.859975
11	C	2.860919	-0.177036	1.779995
12	C	2.609332	-1.675016	1.476076
13	C	3.544073	-2.113273	0.336827
14	N	4.135699	-1.589282	-1.97795
15	C	3.729903	-2.848138	-2.561133
16	C	3.901733	-3.934879	-1.482334
17	C	3.223673	-3.545243	-0.15111
18	C	4.926084	0.524437	-1.588617
19	C	4.530634	-0.420312	-2.736159
20	C	5.00743	-1.94772	0.823616
21	C	5.271352	-0.532427	1.437374
22	C	6.697126	-0.053333	1.175965
23	O	7.453901	-0.458766	0.312712
24	O	7.070997	0.868215	2.085099
25	C	8.40591	1.393353	1.946339
26	C	4.318313	2.412676	2.518539
27	C	-0.023755	3.293535	-2.41502
28	C	-1.380893	2.926466	-1.821525
29	C	-1.624622	1.625292	-1.33438
30	C	-2.413682	3.867005	-1.755155
31	C	-3.681093	3.551496	-1.23977
32	C	-3.899573	2.257865	-0.767998
33	C	-2.86882	1.299967	-0.824383
34	N	-5.072082	1.706197	-0.217872
35	C	-3.37436	0.035216	-0.144488
36	C	-4.92325	0.240889	-0.365461
37	C	-2.99305	-1.367102	-0.686895
38	C	-5.248841	-0.208267	-1.828992
39	C	-5.023258	-1.730908	-2.007396
40	C	-4.263923	-2.271239	-0.775852
41	N	-1.867723	-1.848451	0.232079
42	C	-1.632203	-3.33729	0.146357
43	C	-2.892986	-4.195911	0.157782
44	C	-3.858977	-3.744308	-0.944346
45	C	-2.830867	0.032371	1.338941
46	C	-2.269242	-1.364532	1.602485
47	C	-5.238281	-2.104833	0.424771
48	C	-5.820476	-0.66532	0.525211
49	C	-6.050893	-0.250774	1.976498
50	O	-5.483435	-0.70695	2.952582
51	O	-7.028765	0.667154	2.069304
52	C	-7.340774	1.133706	3.398059
53	C	-6.340502	2.347928	-0.545704
54	O	-0.700458	-1.20411	-0.123666
55	H	1.551241	1.051727	-2.341943
56	H	1.013312	4.864072	-0.428121
57	H	2.800173	4.343096	1.194733
58	H	2.230161	-1.182025	-1.11576
59	H	3.042531	-0.017678	2.848505
60	H	1.977894	0.412421	1.518062
61	H	2.790413	-2.297038	2.362171
62	H	1.563886	-1.821622	1.179681
63	H	2.679828	-2.828478	-2.921521
64	H	4.365044	-3.069185	-3.427025
65	H	3.488682	-4.887497	-1.838201
66	H	4.975858	-4.09032	-1.322955
67	H	2.1336	-3.607311	-0.285285
68	H	3.48129	-4.277142	0.626732
69	H	5.897508	0.21328	-1.207218
70	H	4.988097	1.572615	-1.89219
71	H	3.719146	0.013939	-3.354482
72	H	5.368559	-0.652016	-3.404564
73	H	5.234371	-2.713997	1.574428
74	H	5.688935	-2.097069	-0.015444
75	H	5.208563	-0.59275	2.529696
76	H	8.527344	1.874199	0.972794
77	H	8.516792	2.12181	2.748938
78	H	9.142497	0.593214	2.050733
79	H	3.377477	2.386359	3.090227
80	H	4.639332	3.456926	2.443784
81	H	5.088883	1.870145	3.066233
82	H	0.121789	2.744563	-3.356054
83	H	-0.032867	4.357865	-2.679086
84	H	-0.850643	0.863925	-1.336108
85	H	-2.238309	4.874825	-2.126288
86	H	-4.464159	4.303284	-1.221288
87	H	-2.512357	-1.335328	-1.665885
88	H	-6.284736	0.059928	-2.05968
89	H	-4.613158	0.358079	-2.515495
90	H	-4.455551	-1.934817	-2.92281
91	H	-5.976239	-2.265135	-2.099535
92	H	-1.092753	-3.452666	-0.796168
93	H	-0.94617	-3.574284	0.962779
94	H	-2.586829	-5.235772	-0.005744
95	H	-3.378329	-4.171204	1.140568
96	H	-3.370113	-3.872997	-1.920283
97	H	-4.75566	-4.375616	-0.954485
98	H	-2.023813	0.761731	1.403567
99	H	-3.584583	0.300157	2.075684
100	H	-3.003497	-2.039478	2.044473
101	H	-1.36253	-1.372298	2.205844
102	H	-4.773144	-2.363551	1.375504
103	H	-6.0592	-2.817052	0.286048
104	H	-6.81834	-0.644634	0.074696
105	H	-7.674401	0.30241	4.023237
106	H	-8.140922	1.861596	3.269255
107	H	-6.464512	1.602668	3.851599
108	H	-7.160701	1.792468	-0.091116
109	H	-6.351038	3.356606	-0.1205
110	H	-6.514718	2.433409	-1.629586
