Column	Count
Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ 0.02	87
Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ 0.1	87
Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ 10.0	87
Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ 25.0	87
Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ 50.0	87
Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ 100.0	87
Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ 250.0	87
Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ 500.0	87
Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ inf	87
Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ 0.02	87
Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ 0.1	87
Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ 10.0	87
Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ 25.0	87
Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ 50.0	87
Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ 100.0	87
Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ 250.0	87
Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ 500.0	87
Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ inf	87
Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ 0.02	90
Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ 0.1	90
Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ 10.0	90
Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ 25.0	90
Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ 50.0	90
Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ 100.0	90
Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ 250.0	90
Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ 500.0	90
Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ inf	90
