Column	Count
Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ 0.02	187
Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ 0.1	187
Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ 10.0	187
Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ 25.0	187
Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ 50.0	187
Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ 100.0	187
Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ 250.0	187
Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ 500.0	187
Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ inf	187
Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ 0.02	198
Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ 0.1	198
Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ 10.0	198
Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ 25.0	198
Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ 50.0	198
Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ 100.0	198
Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ 250.0	198
Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ 500.0	198
Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ inf	198
Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ 0.02	208
Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ 0.1	208
Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ 10.0	208
Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ 25.0	208
Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ 50.0	208
Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ 100.0	208
Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ 250.0	208
Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ 500.0	208
Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ inf	208
