Column	Count
Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ 0.02	187
Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ 0.02 exact	187
Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ 0.1	286
Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ 0.1 exact	187
Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ 10.0	456
Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ 10.0 exact	187
Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ 25.0	512
Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ 25.0 exact	187
Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ 50.0	546
Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ 50.0 exact	187
Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ 100.0	580
Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ 100.0 exact	187
Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ 250.0	623
Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ 250.0 exact	187
Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ 500.0	649
Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ 500.0 exact	187
Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ inf	649
Standard InChI GNPS; peaks ≥ 6; Δ mass ≤ inf exact	187
Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ 0.02	198
Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ 0.02 exact	198
Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ 0.1	296
Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ 0.1 exact	198
Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ 10.0	479
Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ 10.0 exact	198
Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ 25.0	541
Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ 25.0 exact	198
Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ 50.0	567
Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ 50.0 exact	198
Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ 100.0	599
Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ 100.0 exact	198
Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ 250.0	640
Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ 250.0 exact	198
Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ 500.0	662
Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ 500.0 exact	198
Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ inf	663
Standard InChI GNPS; peaks ≥ 5; Δ mass ≤ inf exact	198
Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ 0.02	208
Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ 0.02 exact	208
Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ 0.1	305
Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ 0.1 exact	208
Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ 10.0	490
Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ 10.0 exact	208
Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ 25.0	550
Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ 25.0 exact	208
Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ 50.0	578
Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ 50.0 exact	208
Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ 100.0	611
Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ 100.0 exact	208
Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ 250.0	653
Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ 250.0 exact	208
Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ 500.0	671
Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ 500.0 exact	208
Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ inf	672
Standard InChI GNPS; peaks ≥ 4; Δ mass ≤ inf exact	208
