row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,13-hydroxylupanine.mzML Peak area,3-beta-amino-pregnane.mzML Peak area,3-beta-dimethylamino20-betahydroxy5pregnene.mzML Peak area,3-beta-MeAmino20-oxo-5-pregnene.mzML Peak area,Alchorneine.mzML Peak area,Anantine.mzML Peak area,Ancistroealaine A.mzML Peak area,Annomontine.mzML Peak area,Asaronaldehyde.mzML Peak area,Baleabuxidine.mzML Peak area,Bursehernine.mzML Peak area,Caffeic acid.mzML Peak area,Caffeine.mzML Peak area,Chimonanthine.mzML Peak area,Cinegalline.mzML Peak area,Cineverine.mzML Peak area,Cleistopholine.mzML Peak area,Conarrhimine.mzML Peak area,Conessine.mzML Peak area,Conimine.mzML Peak area,Corydaldin.mzML Peak area,Cyanidol.mzML Peak area,Cycloamanide A.mzML Peak area,Cynodine.mzML Peak area,Cytisine.mzML Peak area,Dehydrovomifoliol.mzML Peak area,Deoxopodophyllotoxine.mzML Peak area,Desoxofuntumine.mzML Peak area,Digoxigenine.mzML Peak area,Dihydrotriacanthine.mzML Peak area,Dimethylipecoside.mzML Peak area,Eserine.mzML Peak area,Funtumine.mzML Peak area,Ginkgolide A.mzML Peak area,Ginkgolide B.mzML Peak area,Ginkgolide C.mzML Peak area,Gitoxigenine.mzML Peak area,Gitoxine.mzML Peak area,Holafebrine.mzML Peak area,Holamine.mzML Peak area,Holaminol.mzML Peak area,Holaphyllamine.mzML Peak area,Holaphyllidine.mzML Peak area,Holaphylline.mzML Peak area,Holaphyllinol.mzML Peak area,Homaline.mzML Peak area,Hyperoside.mzML Peak area,Imperatorin.mzML Peak area,Ipecoside.mzML Peak area,Isoelaiocarpine.mzML Peak area,Isoferulic acid.mzML Peak area,Isofuntumidine.mzML Peak area,Isoprunetin.mzML Peak area,Isoquercitrin.mzML Peak area,Isorhamnetol.mzML Peak area,Kaempferol.mzML Peak area,Lupanine.mzML Peak area,Maytenine.mzML Peak area,Monocrotaline.mzML Peak area,Myricitrine.mzML Peak area,N-demethylmitiphylline.mzML Peak area,N-methylcytisine.mzML Peak area,N-methylprosopinine.mzML Peak area,N-methyltryptamine.mzML Peak area,Ombelliferone.mzML Peak area,Onychine.mzML Peak area,Oubacryptine.mzML Peak area,Pachypodol.mzML Peak area,Parahydroxybenzoic acid.mzML Peak area,Phyllochrysine.mzML Peak area,Pilocarpine.mzML Peak area,Popisonine.mzML Peak area,Prosopinine.mzML Peak area,Pyrrovobasine.mzML Peak area,Rheine.mzML Peak area,Rutine.mzML Peak area,Salicoside.mzML Peak area,Santonine.mzML Peak area,Scopolamine.mzML Peak area,Scopoletol.mzML Peak area,Sparteine.mzML Peak area,Swietenin.mzML Peak area,Syringic acid.mzML Peak area,Tangutorine.mzML Peak area,Triacanthine.mzML Peak area,Trigonelline.mzML Peak area,Trimethoxystyrene.mzML Peak area,Triphyophylline.mzML Peak area,Unreported 481.mzML Peak area,Unreported 525.mzML Peak area,Unreported 647.mzXML Peak area,Unreported 703.mzML Peak area,Unreported 733.mzML Peak area,Unreported-645.mzML Peak area,Usnic acid.mzML Peak area,Vomifoliol.mzML Peak area,
1,265.1917701751782,0.6278,,,,,,,,,,,3034377.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,304.3003595126352,2.8282332,,,,,,,,,,,0,6257442.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,346.3100935667297,3.7155333,,,,,,,,,,,0,0,304725.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,330.27917639745914,2.1340168,,,,,,,,,,,0,0,0,2646647.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,222.15989119766073,1.5338167,,,,,,,,,,,0,0,0,0,1276442.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,254.1287809451724,1.1357666,,,,,,,,,,,0,0,0,0,0,3189354.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,420.21508396181116,1.9263667,,,,,,,,,,,0,0,0,0,0,0,2262790.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,262.10906050695513,1.9322166,,,,,,,,,,,0,0,0,0,0,0,0,2419951.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,197.08149140569878,1.99595,,,,,,,,,,,0,0,0,0,0,0,0,0,1182773.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,503.3855240994237,1.6572167,,,,,,,,,,,0,0,0,0,0,0,0,0,0,8452091.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
