formulaRank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C7H7NO2	[M + H]+	C7H8NO2+	63,714	60,944	2,771	13	0,756	-0,732	4,863	4,166		138,056	22	0,368	637283816715535764	637283243349981221	85	
1	C12H16N2O	[M + H]+	C12H17N2O+	17,249	13,704	3,545	3	0,320	-0,643	2,307	0,977		205,134	29	0,491	637283824986704551	637283241823254432	62	
1	C11H14N2O	[M + H]+	C11H15N2O+	108,390	105,045	3,345	33	0,841	-0,495	1,054	1,415		191,118	30	0,506	637283800483578055	637283235234002663	25	
1	C15H24N2O2	[M + H]+	C15H25N2O2+	190,477	190,477	0,000	52	0,949	0,202	0,831	2,698		265,192	38	0,628	637283813880186061	637283232327349871	1	
1	C15H26N2	[M + H]+	C15H27N2+	63,430	57,721	5,709	32	0,800	0,955	2,795	0,743		235,217	47	0,780	637283831903112318	637283243123488785	81	
1	C22H26N4	[M + H]+	C22H27N4+	111,880	108,298	3,581	33	0,702	0,163	1,904	2,323		347,224	51	0,842	637283843210956378	637283234185426608	14	
1	C15H24N2O	[M + H]+	C15H25N2O+	148,660	148,587	0,073	27	0,556	-0,406	5,473	0,001		249,196	51	0,856	637283821920667676	637283241487710087	57	
1	C13H15NO2	[M + H]+	C13H16NO2+	199,959	196,353	3,606	42	0,841	-1,221	2,073	-0,299		218,117	52	0,869	637283823921351150	637283242406262728	70	
1	C16H23NO6	[M + H]+	C16H24NO6+	156,219	150,199	6,020	40	0,833	0,468	1,667	0,663		326,160	61	1,018	637283817617311204	637283241647093649	59	
1	C15H19N4O3	[M + H]+	C15H20N4O3+	122,380	122,380	0,000	27	0,622	-3,467	5,848	4,860		304,154	67	1,122	637283826844781309	637283243022825479	79	
