formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	formulaId	alignedFeatureId	mappingFeatureId
1	C15H24N2O2	[M + H]+	C15H25N2O2+	Alkaloids	1,000	Lysine alkaloids	1,000	Quinolizidine alkaloids	1,000	Alkaloids and derivatives	0,883	Lupin alkaloids	0,968	Sparteine, lupanine, and related alkaloids	0,884			Sparteine, lupanine, and related alkaloids	0,884	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alcohols and polyols; Lactams; Delta lactams; Piperidines; Quinolizidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Alkaloids and derivatives; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Quinolizidinones; Piperidinones; Secondary alcohols; Tertiary carboxylic acid amides; Sparteine, lupanine, and related alkaloids; Carbonyl compounds; Naphthyridines; Trialkylamines; Amines; Tertiary amines; Lupin alkaloids; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	265,191	1338	623206592596984026	623205675038456123	0
1	C21H39NO	[M - H2O + H]+	C21H38N+	Terpenoids	0,252	Pseudoalkaloids (transamidation)	0,578	Terpenoid alkaloids	0,079	Lipids and lipid-like molecules	0,717	Prenol lipids	0,507					Prenol lipids	0,507	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Prenol lipids; Organonitrogen compounds; Organooxygen compounds; Monoalkylamines; Amines; Primary amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	304,300	1338	623206545440423191	623205675130730816	1
1	C23H39NO	[M + H]+	C23H40NO+	Alkaloids	0,930	Pseudoalkaloids (transamidation)	0,963	Steroidal alkaloids	0,951	Lipids and lipid-like molecules	0,727	Steroids and steroid derivatives	0,895	Steroidal alkaloids	0,739			Steroidal alkaloids	0,739	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Steroids and steroid derivatives; Organonitrogen compounds; Alkaloids and derivatives; Organooxygen compounds; Cyclic alcohols and derivatives; Hydroxysteroids; Secondary alcohols; Dialkylamines; Azasteroids and derivatives; Amines; Secondary amines; Steroidal alkaloids; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	346,310	1338	623206587727396754	623205675248171333	2
1	C22H37NO2	[M - H2O + H]+	C22H36NO+	Alkaloids	0,991	Pseudoalkaloids (transamidation)	0,993	Steroidal alkaloids	0,984	Lipids and lipid-like molecules	0,854	Steroids and steroid derivatives	0,948	Steroidal alkaloids	0,731			Steroidal alkaloids	0,731	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Piperidines; Steroids and steroid derivatives; Organonitrogen compounds; Alkaloids and derivatives; Organooxygen compounds; Cyclic alcohols and derivatives; Hydroxysteroids; Secondary alcohols; Dialkylamines; Azasteroids and derivatives; Amines; Secondary amines; Alkanolamines; Steroidal alkaloids; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	330,279	1338	623206644065290202	623205675361417546	3
1	C12H19N3O	[M + H]+	C12H20N3O+	Alkaloids	0,967	Pseudoalkaloids (transamidation)	0,196	Pyridine alkaloids	0,073	Organoheterocyclic compounds	0,927	Heteroaromatic compounds	0,788					Heteroaromatic compounds	0,788	Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Organonitrogen compounds; Organooxygen compounds; Amines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	222,160	1338	623206594920628774	623205675487246671	4
1	C15H15N3O	[M + H]+	C15H16N3O+	Alkaloids	0,967	Tryptophan alkaloids	0,522	Carboline alkaloids	0,297	Benzenoids	0,970							Benzenoids	0,970	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Organooxygen compounds; Azoles; Benzenoids; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	254,129	1338	623206625815872712	623205675571132756	5
1	C24H31NO4	[M + Na]+	C24H31NNaO4+	Alkaloids	0,998	Tyrosine alkaloids	0,998	Isoquinoline alkaloids	0,926	Alkaloids and derivatives	0,618	Aporphines	0,608					Aporphines	0,608	Organic compounds; Organoheterocyclic compounds; Naphthalenes; Phenanthrenes and derivatives; Alkyl aryl ethers; Anisoles; Ethers; Organonitrogen compounds; Alkaloids and derivatives; Organooxygen compounds; Aporphines; Phenol ethers; Benzenoids; Amines; Tetrahydroisoquinolines; Aralkylamines; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	420,217	1338	623206590181064746	623205675906677081	6
1	C15H11N5	[M + H]+	C15H12N5+	Alkaloids	0,999	Tryptophan alkaloids	0,968	Carboline alkaloids	0,932	Organoheterocyclic compounds	0,997	Indoles and derivatives	0,820	Indoles	0,845			Indoles	0,845	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Pyridines and derivatives; Pyrroles; Indoles and derivatives; Organonitrogen compounds; Aminopyrimidines and derivatives; Diazines; Benzenoids; Amines; Primary amines; Indoles; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	262,109	1338	623206625065092213	623205676036700510	7
1	C10H12O4	[M + H]+	C10H13O4+	Shikimates and Phenylpropanoids	0,836	Phenolic acids (C6-C1)	0,776	Simple phenolic acids	0,538	Benzenoids	1,000	Phenol ethers	0,999	Anisoles	0,998			Anisoles	0,998	Organic compounds; Aldehydes; Alkyl aryl ethers; Anisoles; Ethers; Benzoyl derivatives; Organooxygen compounds; Benzaldehydes; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Aryl-aldehydes; Organic oxides; Methoxybenzenes; Hydrocarbon derivatives; Organic oxygen compounds; Phenoxy compounds; Chemical entities	197,081	1338	623206604236178078	623205676103809379	8
1	C30H50N2O4	[M + H]+	C30H51N2O4+	Polyketides	0,422	Linear polyketides	0,835	Open-chain polyketides	0,848	Lipids and lipid-like molecules	0,771	Fatty Acyls	0,480	Fatty amides	0,481	N-acyl amines	0,541	N-acyl amines	0,541	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	503,384	1338	623206614352839491	623205676187695464	9
1	C19H24O6	[M + Na]+	C19H24NaO6+	Shikimates and Phenylpropanoids	0,999	Lignans	0,999	Dibenzylbutyrolactone lignans	0,965	Lignans, neolignans and related compounds	0,983	Furanoid lignans	0,975	Tetrahydrofuran lignans	0,888	9,9'-epoxylignans	0,952	Dibenzylbutyrolactone lignans	0,945	Organic compounds; Organoheterocyclic compounds; Lactones; Alkyl aryl ethers; Anisoles; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Benzodioxoles; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Gamma butyrolactones; Lignans, neolignans and related compounds; Lignan lactones; Tetrahydrofuran lignans; Dibenzylbutyrolactone lignans; Acetals; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Tetrahydrofurans; 9,9'-epoxylignans; Furanoid lignans; Organic oxides; Dimethoxybenzenes; Methoxybenzenes; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Phenoxy compounds; Chemical entities	371,149	1338	623206590629855332	623205676263192941	10
1	C9H8O4	[M + H]+	C9H9O4+	Shikimates and Phenylpropanoids	0,970	Phenylpropanoids (C6-C3)	0,981	Cinnamic acids and derivatives	0,986	Phenylpropanoids and polyketides	0,958	Cinnamic acids and derivatives	0,914	Hydroxycinnamic acids and derivatives	0,942	Coumaric acids and derivatives	0,920	Coumaric acids and derivatives	0,920	Organic compounds; Styrenes; Coumaric acids and derivatives; Phenols; Catechols; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Cinnamic acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Benzenediols; Hydroxycinnamic acids and derivatives; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Hydroxycinnamic acids; Cinnamic acids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities	181,050	1338	623206660314024383	623205676321913202	11
