formulaRank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	formulaId	alignedFeatureId	mappingFeatureId
1	C15H24N2O2	[M + H]+	C15H25N2O2+	181,108	181,108	0,000	50	0,951	3,417	3,894	-0,733		265,191	1338	623206592596984026	623205675038456123	0
1	C21H39NO	[M - H2O + H]+	C21H38N+	78,906	78,906	0,000	24	0,839	-0,254	0,690	-59187,196		304,300	1338	623206545440423191	623205675130730816	1
1	C23H39NO	[M + H]+	C23H40NO+	168,182	168,182	0,000	32	0,862	1,947	1,947	-0,408		346,310	1338	623206587727396754	623205675248171333	2
1	C22H37NO2	[M - H2O + H]+	C22H36NO+	141,708	141,708	0,000	41	0,856	1,303	1,303	-54531,665		330,279	1338	623206644065290202	623205675361417546	3
1	C12H19N3O	[M + H]+	C12H20N3O+	85,642	85,642	0,000	30	0,836	-5,076	5,076	-1,479		222,160	1338	623206594920628774	623205675487246671	4
1	C15H15N3O	[M + H]+	C15H16N3O+	99,390	99,390	0,000	34	0,778	-0,157	3,037	0,163		254,129	1338	623206625815872712	623205675571132756	5
1	C24H31NO4	[M + Na]+	C24H31NNaO4+	140,654	140,654	0,000	48	0,928	-1,851	1,871	6,403		420,217	1338	623206590181064746	623205675906677081	6
1	C15H11N5	[M + H]+	C15H12N5+	58,331	58,331	0,000	24	0,833	-0,813	0,821	0,527		262,109	1338	623206625065092213	623205676036700510	7
1	C10H12O4	[M + H]+	C10H13O4+	151,632	151,632	0,000	32	0,824	1,671	2,540	-0,281		197,081	1338	623206604236178078	623205676103809379	8
1	C30H50N2O4	[M + H]+	C30H51N2O4+	204,449	204,449	0,000	53	0,944	2,247	2,247	-0,247		503,384	1338	623206614352839491	623205676187695464	9
1	C19H24O6	[M + Na]+	C19H24NaO6+	87,828	87,828	0,000	27	0,881	-2,346	2,800	6,900		371,149	1338	623206590629855332	623205676263192941	10
1	C9H8O4	[M + H]+	C9H9O4+	71,071	71,071	0,000	6	0,715	-0,823	2,448	1,242		181,050	1338	623206660314024383	623205676321913202	11
1	C8H10N4O2	[M + H]+	C8H11N4O2+	54,895	54,895	0,000	14	0,894	0,722	1,409	0,605		195,088	1338	623206598343180886	623205676372244855	12
1	C22H26N4	[M + H]+	C22H27N4+	40,189	40,189	0,000	18	0,840	2,078	2,306	0,279		347,223	1338	623206698666740881	623205676439353724	13
1	C23H30N2O6	[M + H]+	C23H31N2O6+	112,544	112,544	0,000	45	0,892	-1,032	1,485	-0,401		431,217	1338	623206639858403122	623205676544211329	14
