formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C7H7NO2	[M + H]+	C7H8NO2+	Alkaloids	0,810	Nicotinic acid alkaloids	0,968	Pyridine alkaloids	0,968	Organoheterocyclic compounds	0,777	Pyridines and derivatives	0,873	Pyridinecarboxylic acids and derivatives	0,665	Pyridinecarboxylic acids	0,667	Pyridinecarboxylic acids	0,667	Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Pyridinecarboxylic acids and derivatives; Pyridinecarboxylic acids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	138,055	24	0,397	627520435291917357	627520048145073795	1	
1	C11H14N2O	[M + H]+	C11H15N2O+	Alkaloids	1,000	Nicotinic acid alkaloids	0,998	Pyridine alkaloids	0,998	Alkaloids and derivatives	0,945	Lupin alkaloids	0,950	Cytisine and derivatives	0,983			Cytisine and derivatives	0,983	Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Lactams; Piperidines; Organonitrogen compounds; Alkaloids and derivatives; Organooxygen compounds; Pyridinones; Hydropyridines; Dialkylamines; Amines; Secondary amines; Lupin alkaloids; Cytisine and derivatives; Aralkylamines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	191,118	24	0,398	627520455609127047	627520048392537736	2	
1	C12H16N2O	[M + H]+	C12H17N2O+	Alkaloids	1,000	Nicotinic acid alkaloids	0,900	Pyridine alkaloids	0,900	Alkaloids and derivatives	0,928	Lupin alkaloids	0,665					Lupin alkaloids	0,665	Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Lactams; Piperidines; Organonitrogen compounds; Alkaloids and derivatives; Organooxygen compounds; Pyridinones; Hydropyridines; Trialkylamines; Amines; Tertiary amines; Lupin alkaloids; Aralkylamines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	205,134	32	0,529	627520433664527273	627520048539338381	3	
1	C15H24N2O2	[M + H]+	C15H25N2O2+	Alkaloids	1,000	Lysine alkaloids	1,000	Quinolizidine alkaloids	1,000	Alkaloids and derivatives	0,883	Lupin alkaloids	0,968	Sparteine, lupanine, and related alkaloids	0,884			Sparteine, lupanine, and related alkaloids	0,884	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alcohols and polyols; Lactams; Delta lactams; Piperidines; Quinolizidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Alkaloids and derivatives; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Quinolizidinones; Piperidinones; Secondary alcohols; Tertiary carboxylic acid amides; Sparteine, lupanine, and related alkaloids; Carbonyl compounds; Naphthyridines; Trialkylamines; Amines; Tertiary amines; Lupin alkaloids; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	265,191	44	0,730	627520455852396700	627520048656778898	4	
1	C15H26N2	[M + H]+	C15H27N2+	Alkaloids	1,000	Lysine alkaloids	1,000	Quinolizidine alkaloids	1,000	Alkaloids and derivatives	0,926	Lupin alkaloids	0,984	Sparteine, lupanine, and related alkaloids	0,977			Sparteine, lupanine, and related alkaloids	0,977	Organic compounds; Organoheterocyclic compounds; Piperidines; Quinolizidines; Organonitrogen compounds; Alkaloids and derivatives; Sparteine, lupanine, and related alkaloids; Trialkylamines; Amines; Tertiary amines; Lupin alkaloids; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	235,217	49	0,814	627520443382730414	627520048744859287	5	
1	C22H26N4	[M + H]+	C22H27N4+	Alkaloids	0,998	Tryptophan alkaloids	0,963	Corynanthe type	0,523	Organoheterocyclic compounds	0,999	Diazanaphthalenes	0,384	Naphthyridines	0,507			Naphthyridines	0,507	Organic compounds; Organoheterocyclic compounds; Piperidines; Indoles and derivatives; Organonitrogen compounds; Naphthyridines; Benzenoids; Amines; Secondary amines; Tertiary amines; Secondary alkylarylamines; Aralkylamines; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	347,223	52	0,870	627520442329959938	627520048862299804	6	
1	C13H15NO2	[M + H]+	C13H16NO2+	Alkaloids	0,896	Tryptophan alkaloids	0,272	Quinoline alkaloids	0,071	Organoheterocyclic compounds	0,989	Quinolines and derivatives	0,668	Hydroquinolines	0,709			Hydroquinolines	0,709	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Quinolines and derivatives; Hydroquinolines; Carbonyl compounds; Benzenoids; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	218,117	53	0,887	627520435837176938	627520048962963105	7	
1	C15H24N2O	[M + H]+	C15H25N2O+	Alkaloids	1,000	Lysine alkaloids	1,000	Quinolizidine alkaloids	1,000	Alkaloids and derivatives	0,891	Lupin alkaloids	0,982	Sparteine, lupanine, and related alkaloids	0,717			Sparteine, lupanine, and related alkaloids	0,717	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Lactams; Delta lactams; Piperidines; Quinolizidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Alkaloids and derivatives; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Quinolizidinones; Piperidinones; Tertiary carboxylic acid amides; Sparteine, lupanine, and related alkaloids; Carbonyl compounds; Naphthyridines; Trialkylamines; Amines; Tertiary amines; Lupin alkaloids; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Diazanaphthalenes; Chemical entities	249,196	54	0,902	627520485560652451	627520049072015014	8	
1	C16H23NO6	[M + H]+	C16H24NO6+	Alkaloids	1,000	Ornithine alkaloids	1,000	Pyrrolizidine alkaloids	1,000	Organic acids and derivatives	1,000	Carboxylic acids and derivatives	1,000	Amino acids, peptides, and analogues	0,946	Amino acids and derivatives	0,945	Amino acids and derivatives	0,945	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Lactones; Pyrrolines; Alcohols and polyols; Pyrrolidines; Pyrrolizines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Alkaloids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Tertiary alcohols; Carbonyl compounds; Trialkylamines; Polyols; Amines; Tertiary amines; N-alkylpyrrolidines; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	326,159	62	1,035	627520529718285527	627520049168484011	9	
1	C30H42N4O2	[M + H]+	C30H43N4O2+	Alkaloids	0,866	Tryptophan alkaloids	0,232	Pyrroloindole alkaloids	0,021	Organic acids and derivatives	0,999	Carboxylic acids and derivatives	0,998	Amino acids, peptides, and analogues	0,985	Amino acids and derivatives	0,984	Alpha amino acids and derivatives	0,515	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Lactams; Piperidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Tertiary carboxylic acid amides; Carbonyl compounds; Trialkylamines; Benzene and substituted derivatives; Benzenoids; Amines; Tertiary amines; Aralkylamines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	491,338	70	1,172	627520536009741600	627520049285924528	10	
1	C11H14N2	[M + H]+	C11H15N2+	Alkaloids	0,999	Tryptophan alkaloids	0,992	Simple indole alkaloids	0,991	Organoheterocyclic compounds	0,999	Indoles and derivatives	0,997	Tryptamines and derivatives	0,827			Tryptamines and derivatives	0,827	Organic compounds; Organoheterocyclic compounds; Pyrroles; Tryptamines and derivatives; Indoles and derivatives; Organonitrogen compounds; Dialkylamines; Substituted pyrroles; Benzenoids; Amines; Secondary amines; Indoles; Aralkylamines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; 3-alkylindoles; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	175,123	72	1,202	627520486412096216	627520049374004917	11	
1	C8H10N4O2	[M + H]+	C8H11N4O2+	Alkaloids	0,999	Pseudoalkaloids (transamidation)	1,000	Purine alkaloids	1,000	Organoheterocyclic compounds	1,000	Imidazopyrimidines	0,999	Purines and purine derivatives	0,999	Xanthines	0,999	Xanthines	0,999	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Imidazoles; Lactams; Purines and purine derivatives; Xanthines; Organic acids and derivatives; Organonitrogen compounds; Alkaloids and derivatives; Pyrimidones; Organooxygen compounds; Organic carbonic acids and derivatives; Azoles; Ureas; Purinones; Diazines; 6-oxopurines; Imidazopyrimidines; Substituted imidazoles; N-substituted imidazoles; Vinylogous amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	195,088	72	1,207	627520448562696188	627520049466279610	12	
