formulaRank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C13H15NO2	[M + H]+	C13H16NO2+	111,972	111,972	0,000	32	0,741	-3,418	5,266	-1,078		218,117	53	0,887	627505666153161664	627505228838246416	7	
1	C16H23NO6	[M + H]+	C16H24NO6+	108,257	108,257	0,000	34	0,851	2,706	2,817	-1,729		326,159	62	1,035	627505673526748321	627505229182179354	9	
1	C15H21N3O2	[M + H]+	C15H22N3O2+	72,999	72,999	0,000	26	0,795	-0,070	4,156	0,314		276,171	80	1,335	627505682896823756	627505230264309826	17	
1	C16H19NO2	[M + H]+	C16H20NO2+	103,723	103,723	0,000	31	0,825	-0,811	1,438	-0,137		258,149	93	1,549	627506060279328508	627505232613120156	35	
1	C23H34O5	[M + H]+	C23H35O5+	128,827	128,827	0,000	43	0,857	0,155	0,607	0,407		391,248	97	1,609	627506156127567458	627505233187739824	39	
1	C10H10O4	[M + H]+	C10H11O4+	90,934	90,934	0,000	13	0,736	1,365	4,812	-0,437		195,065	100	1,672	627506142491884709	627505233821079753	44	
1	C26H29NO4	[M + H]+	C26H30NO4+	139,428	139,428	0,000	48	0,908	-8,866	8,866	0,679		420,217	114	1,892	627506183306657951	627505234408282333	48	
1	C15H11N5	[M + H]+	C15H12N5+	58,331	58,331	0,000	24	0,833	-0,813	0,821	0,527		262,109	115	1,915	627506175282954299	627505234559277282	49	
1	C18H35NO3	[M + H]+	C18H36NO3+	111,817	111,817	0,000	38	0,830	0,014	0,636	-0,701		314,269	121	2,018	627506214751355414	627505235062593782	53	
1	C22H37NO	[M + H]+	C22H38NO+	160,731	160,731	0,000	34	0,866	-0,309	0,670	0,147		332,295	130	2,168	627506338995030378	627505236383799582	61	
1	C33H42N6O6	[M + H]+	C33H43N6O6+	66,336	66,336	0,000	37	0,805	2,217	3,293	-0,354		619,324	146	2,434	627506558550086092	627505238237682015	74	
1	C43H62O14	[M + H]+	C43H63O14+	79,663	79,663	0,000	24	0,681	-4,288	4,924	-3,688		803,418	152	2,538	627506574626854065	627505238527089001	76	
1	C13H9NO	[M + H]+	C13H10NO+	83,139	83,139	0,000	26	0,812	0,229	1,573	0,457		196,076	159	2,658	627506561830031989	627505238682278254	77	
1	C32H43NO9	[M + H]+	C32H44NO9+	64,116	64,116	0,000	24	0,774	0,496	1,153	-0,373		586,301	187	3,114	627506595787118160	627505239340784007	82	
1	C17H22N2O9	[M + H]+	C17H23N2O9+	65,707	65,707	0,000	28	0,807	-2,530	4,915	8,927		399,143	188	3,137	627506573553111989	627505239462418828	83	
1	C24H28N6O5	[M + H]+	C24H29N6O5+	21,114	21,114	0,000	5	1,000	-2,241	3,776	-2,482		481,218	275	4,588	627506611117299757	627505240641018282	89	
1	C31H44N2O10	[M + H]+	C31H45N2O10+	95,474	95,474	0,000	45	0,878	-2,481	3,991	-6,694		605,303	1337	22,288	627506834942140830	627505241366632899	94	
