structurePerIdRank	formulaRank	ConfidenceScoreExact	ConfidenceScoreApproximate	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	precursorFormula	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	1	0,070	0,070	-215,980		111,972	C13H15NO2	[M + H]+	C13H16NO2+	NRZXBDYODHLZBF	InChI=1S/C13H15NO2/c15-8-10-7-9-3-1-5-14-6-2-4-11(12(9)14)13(10)16/h7-8,16H,1-6H2	8-hydroxy-1-azatricyclo[7.3.1.0⁵,¹³]trideca-5,7,9(13)-triene-7-carbaldehyde	C1CC2=CC(=C(C3=C2N(C1)CCC3)O)C=O	2,500	113099;3930402	COCONUT:(CNP0075532);NORMAN:(NS00035338);PUBCHEMANNOTATIONSAFETYANDTOXIC;MESH:(113099);PUBCHEM:(113099 3930402);DSSTox:(DTXSID6069743);PUBMED	137508421702	218,117	53	0,887	627505666153161664	627505228838246416	7	
1	1	0,839	0,994	-11,709		108,257	C16H23NO6	[M + H]+	C16H24NO6+	QVCMHGGNRFRMAD	InChI=1S/C16H23NO6/c1-9-13(18)23-11-5-7-17-6-4-10(12(11)17)8-22-14(19)16(3,21)15(9,2)20/h4,9,11-12,20-21H,5-8H2,1-3H3	Monocrotaline	CC1C(=O)OC2CCN3C2C(=CC3)COC(=O)C(C1(C)O)(C)O	-0,700	124514865;124918259;6604238;6604673;6971200;6971201;53298479;134762360;137706332;7059591;7059592;7059671;7059672;7157200;7566625;7566626;7566635;124300554;124352398;162850765;162850766;6325704;16757794;16759293;56840789;139025652;139292032;4246;9415;120834;231893;1151331;133550121;133645839;11869409;11869408;11869410;11869411;11869412;44285050;138107162	PUBCHEMANNOTATIONBIO;HMDB:(HMDB0034363);PUBCHEMANNOTATIONSAFETYANDTOXIC;BloodExposome:(9415 4246);SUPERNATURAL:(SN0316032);HSDB:(315-22-0);MESH:(9415);FooDB:(FDB012736);PUBCHEM:(124514865 124918259 6604238 6604673 6971200 6971201 53298479 134762360 137706332 7059591 7059592 7059671 7059672 7157200 7566625 7566626 7566635 124300554 124352398 162850765 162850766 6325704 16757794 16759293 56840789 139025652 139292032 4246 9415 120834 231893 1151331 133550121 133645839 11869409 11869408 11869410 11869411 11869412 44285050 138107162);GNPS:(CCMSLIB00000085787 CCMSLIB00003136212);COCONUT:(CNP0112982);NORMAN:(NS00015471);CHEBI:(6980 125403);KEGG:(C10350);DSSTox:(DTXSID501009159 DTXSID9020902);LOTUS:(Q105228563 Q27107379 Q27215982);PUBCHEMANNOTATIONDRUG;PUBMED;KNAPSACK:(QVCMHGGNRFRMAD-UHFFFAOYSA-N)	138369307518	326,159	62	1,035	627505673526748321	627505229182179354	9	
1	1	0,993	0,993	-5,066		72,999	C15H21N3O2	[M + H]+	C15H22N3O2+	PIJVFDBKTWXHHD	InChI=1S/C15H21N3O2/c1-15-7-8-17(3)13(15)18(4)12-6-5-10(9-11(12)15)20-14(19)16-2/h5-6,9,13H,7-8H2,1-4H3,(H,16,19)	Eserine	CC12CCN(C1N(C3=C2C=C(C=C3)OC(=O)NC)C)C	2,083	101346707;6603845;6921568;6921569;4616191;14107712;146159232;667498;54190829;11403114;45040248;10802488;4811;5983;450957;91441733;133687009;11821821;11859207;11865449;24848398	PUBCHEMANNOTATIONBIO;HMDB:(HMDB0015116);PUBCHEMANNOTATIONSAFETYANDTOXIC;BloodExposome:(4811 5983);SUPERNATURAL:(SN0286276);HSDB:(57-47-6);MESH:(5983);PUBCHEM:(101346707 6603845 6921568 6921569 4616191 14107712 146159232 667498 54190829 11403114 45040248 10802488 4811 5983 450957 91441733 133687009 11821821 11859207 11865449 24848398);COCONUT:(CNP0185906);NORMAN:(NS00004015 NS00081248 NS00081277);METACYC:(CPD-12048 CPD-18906);CHEBI:(94369 27953 182905);KEGG:(C06535);DSSTox:(DTXSID00859010 DTXSID20976379 DTXSID3023471 DTXSID30976380);LOTUS:(Q410595);PUBCHEMANNOTATIONDRUG;PUBMED;KNAPSACK:(PIJVFDBKTWXHHD-UHFFFAOYSA-N)	137832434558	276,171	80	1,335	627505682896823756	627505230264309826	17	
1	1	0,156	0,156	-184,375		103,723	C16H19NO2	[M + H]+	C16H20NO2+	BBUNTGYDSHWDJU	InChI=1S/C16H19NO2/c1-12-5-6-14-13(10-16(18)19-15(14)9-12)11-17-7-3-2-4-8-17/h5-6,9-10H,2-4,7-8,11H2,1H3	7-methyl-4-[(piperidin-1-yl)methyl]-2H-chromen-2-one	CC1=CC2=C(C=C1)C(=CC(=O)O2)CN3CCCCC3	2,500	1772334;1772335	COCONUT:(CNP0163391);SUPERNATURAL:(SN0021311);PUBCHEM:(1772334 1772335);PUBMED	3145794	258,149	93	1,549	627506060279328508	627505232613120156	35	
1	1	0,781	0,956	-50,343		128,827	C23H34O5	[M + H]+	C23H35O5+	PVAMXWLZJKTXFW	InChI=1S/C23H34O5/c1-21-7-5-15(24)10-14(21)3-4-17-16(21)6-8-22(2)20(13-9-19(26)28-12-13)18(25)11-23(17,22)27/h9,14-18,20,24-25,27H,3-8,10-12H2,1-2H3	Gitoxigenin	CC12CCC(CC1CCC3C2CCC4(C3(CC(C4C5=CC(=O)OC5)O)O)C)O	3,049	22294566;124747095;124898220;124904026;124904027;124904028;67579070;6548126;6713846;40493152;40493153;40493154;40493155;53298685;163084465;163084466;163084467;134688292;23992915;7067825;7067826;102067281;70882271;3246693;10385734;133126606;608933;99564906;99564907;99564908;99644236;99644237;99644238;99644239;46494837;142012389;24140132;11012;348482;1023655;1023656;1023657;1023658;12309550;12309551;133550456;11870450;11870451;11870452;44144286;73755844;68587828	PUBCHEMANNOTATIONBIO;HMDB:(HMDB0252730);TeroMol:(TKC206876 TKC117625);PUBCHEMANNOTATIONSAFETYANDTOXIC;BloodExposome:(348482);LIPIDMAPS:(LMST01120003);SUPERNATURAL:(SN0295915);MESH:(348482);PUBCHEM:(22294566 124747095 124898220 124904026 124904027 124904028 67579070 6548126 6713846 40493152 40493153 40493154 40493155 53298685 163084465 163084466 163084467 134688292 23992915 7067825 7067826 102067281 70882271 3246693 10385734 133126606 608933 99564906 99564907 99564908 99644236 99644237 99644238 99644239 46494837 142012389 24140132 11012 348482 1023655 1023656 1023657 1023658 12309550 12309551 133550456 11870450 11870451 11870452 44144286 73755844 68587828);COCONUT:(CNP0394753);NORMAN:(NS00004870);METACYC:(CPD-22576);CHEBI:(38105);DSSTox:(DTXSID20878642);LOTUS:(Q105215366 Q1527718 Q105215364);PUBMED	139954751598	391,248	97	1,609	627506156127567458	627505233187739824	39	
1	1	0,645	0,645	-91,817		90,934	C10H10O4	[M + H]+	C10H11O4+	KSEBMYQBYZTDHS	InChI=1S/C10H10O4/c1-14-9-6-7(2-4-8(9)11)3-5-10(12)13/h2-6,11H,1H3,(H,12,13)	Ferulic Acid	COC1=C(C=CC(=C1)C=CC(=O)O)O	1,380	16109944;10262057;90887593;153709649;131871184;1548883;11310152;45039253;709;445858;117064991;54691413;54710368;54730542;71311006;57369490	PUBCHEMANNOTATIONBIO;HMDB:(HMDB0000954 HMDB0240705 HMDB0303721);MiMeDB:(MMDBc0000174);PUBCHEMANNOTATIONSAFETYANDTOXIC;BloodExposome:(445858 709 23669636);SUPERNATURAL:(SN0193972 SN0193973);HSDB:(1135-24-6);MESH:(445858 1548883);FooDB:(FDB012801 FDB012802 FDB019993 FDB021752 FDB030860);PUBCHEM:(16109944 10262057 90887593 153709649 131871184 1548883 11310152 45039253 709 445858 117064991 54691413 54710368 54730542 71311006 57369490);GNPS:(CCMSLIB00003137199 CCMSLIB00003136569);COCONUT:(CNP0304940);NORMAN:(NS00006133 NS00068201);METACYC:(BUTANOL CPD-87 CPD-9731 D-ALLOSE-6-PHOSPHATE FERULIC-ACID);PLANTCYC:(FERULIC-ACID);CHEBI:(193350 29749 76117 17620 114954);KEGG:(C01494);DSSTox:(DTXSID00746436 DTXSID301034732 DTXSID5040673 DTXSID601034731 DTXSID70892035 DTXSID80894080);LOTUS:(Q27145764 Q51617501 Q417362);YMDB:(YMDB01325);PUBCHEMANNOTATIONDRUG;PUBCHEMANNOTATIONFOOD;PUBMED;KNAPSACK:(KSEBMYQBYZTDHS-UHFFFAOYSA-N)	139577465726	195,065	100	1,672	627506142491884709	627505233821079753	44	
1	1	0,055	0,135	-220,950		139,428	C26H29NO4	[M + H]+	C26H30NO4+	LPSVLNYJYKVSKK	InChI=1S/C26H29NO4/c1-28-24-13-20(9-10-23(24)31-18-19-7-5-4-6-8-19)16-27-12-11-21-14-25(29-2)26(30-3)15-22(21)17-27/h4-10,13-15H,11-12,16-18H2,1-3H3	2-{[4-(benzyloxy)-3-methoxyphenyl]methyl}-6,7-dimethoxy-1,2,3,4-tetrahydroisoquinoline	COC1=C(C=C2CN(CCC2=C1)CC3=CC(=C(C=C3)OCC4=CC=CC=C4)OC)OC	4,700	4043778;1376207	COCONUT:(CNP0119118);SUPERNATURAL:(SN0212038);PUBCHEM:(4043778 1376207);PUBMED	3145794	420,217	114	1,892	627506183306657951	627505234408282333	48	
1	1	0,814	0,814	-28,000		58,331	C15H11N5	[M + H]+	C15H12N5+	IUDMZJRPDRCJEB	InChI=1S/C15H11N5/c16-15-18-8-6-12(20-15)14-13-10(5-7-17-14)9-3-1-2-4-11(9)19-13/h1-8,19H,(H2,16,18,20)	Annomontine	C1=CC=C2C(=C1)C3=C(N2)C(=NC=C3)C4=NC(=NC=C4)N	1,900	5257090	PUBCHEMANNOTATIONBIO;COCONUT:(CNP0126473);CHEBI:(65409);SUPERNATURAL:(SN0155388);MESH:(5257090);PUBCHEM:(5257090);DSSTox:(DTXSID401240801);LOTUS:(Q27133852);PUBMED;KNAPSACK:(IUDMZJRPDRCJEB-UHFFFAOYSA-N)	137727311990	262,109	115	1,915	627506175282954299	627505234559277282	49	
1	1	0,167	0,167	-170,659		111,817	C18H35NO3	[M + H]+	C18H36NO3+	NUADXXZZTZBHBO	InChI=1S/C18H35NO3/c1-2-3-4-5-6-7-8-9-10-11-12-13-17-19-18(14-20,15-21)16-22-17/h20-21H,2-16H2,1H3	2-Tridecyl-2-oxazoline-4,4-dimethanol	CCCCCCCCCCCCCC1=NC(CO1)(CO)CO	4,500	6454957	NORMAN:(NS00035742);PUBCHEM:(6454957);DSSTox:(DTXSID60215072)	137439215618	314,269	121	2,018	627506214751355414	627505235062593782	53	
1	1	0,559	0,690	-173,059		160,731	C22H37NO	[M + H]+	C22H38NO+	CEHZYZVJEXXYPM	InChI=1S/C22H37NO/c1-14(13-23)18-6-7-19-17-5-4-15-12-16(24)8-10-21(15,2)20(17)9-11-22(18,19)3/h4,14,16-20,24H,5-13,23H2,1-3H3	21-Amino-20-methyl-pregn-5-en-3-ol	CC(CN)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C	4,278	50987461;21120864;140647189;127605	MESH:(127605);PUBCHEM:(50987461 21120864 140647189 127605);PUBMED	70	332,295	130	2,168	627506338995030378	627505236383799582	61	
