formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	formulaId	alignedFeatureId	mappingFeatureId
1	C15H24N2O2	[M + H]+	C15H25N2O2+	Alkaloids	1,000	Lysine alkaloids	1,000	Quinolizidine alkaloids	1,000	Alkaloids and derivatives	0,883	Lupin alkaloids	0,968	Sparteine, lupanine, and related alkaloids	0,884			Sparteine, lupanine, and related alkaloids	0,884	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alcohols and polyols; Lactams; Delta lactams; Piperidines; Quinolizidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Alkaloids and derivatives; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Quinolizidinones; Piperidinones; Secondary alcohols; Tertiary carboxylic acid amides; Sparteine, lupanine, and related alkaloids; Carbonyl compounds; Naphthyridines; Trialkylamines; Amines; Tertiary amines; Lupin alkaloids; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	265,191	1338	625965223046393919	625964163967850308	1
1	C21H37N	[M + H]+	C21H38N+	Terpenoids	0,680	Diterpenoids	0,653	Cycloamphilectane diterpenoids	0,194	Lipids and lipid-like molecules	0,876	Prenol lipids	0,725					Prenol lipids	0,725	Organic compounds; Lipids and lipid-like molecules; Prenol lipids; Organonitrogen compounds; Monoalkylamines; Amines; Primary amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	304,300	1338	625965267464074218	625964164429223753	2
1	C23H39NO	[M + H]+	C23H40NO+	Alkaloids	0,930	Pseudoalkaloids (transamidation)	0,963	Steroidal alkaloids	0,951	Lipids and lipid-like molecules	0,727	Steroids and steroid derivatives	0,895	Steroidal alkaloids	0,739			Steroidal alkaloids	0,739	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Steroids and steroid derivatives; Organonitrogen compounds; Alkaloids and derivatives; Organooxygen compounds; Cyclic alcohols and derivatives; Hydroxysteroids; Secondary alcohols; Dialkylamines; Azasteroids and derivatives; Amines; Secondary amines; Steroidal alkaloids; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	346,310	1338	625965202636910197	625964164714436430	3
1	C22H35NO	[M + H]+	C22H36NO+	Alkaloids	0,993	Pseudoalkaloids (transamidation)	0,996	Steroidal alkaloids	0,984	Lipids and lipid-like molecules	0,815	Steroids and steroid derivatives	0,876	Steroidal alkaloids	0,794			Steroidal alkaloids	0,794	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Steroids and steroid derivatives; Organonitrogen compounds; Alkaloids and derivatives; Organooxygen compounds; Cyclic alcohols and derivatives; Secondary alcohols; Dialkylamines; Trialkylamines; Azasteroids and derivatives; Amines; Secondary amines; Steroidal alkaloids; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	330,279	1338	625965042531934852	625964164974483283	4
1	C12H19N3O	[M + H]+	C12H20N3O+	Alkaloids	0,967	Pseudoalkaloids (transamidation)	0,196	Pyridine alkaloids	0,073	Organoheterocyclic compounds	0,927	Heteroaromatic compounds	0,788					Heteroaromatic compounds	0,788	Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Organonitrogen compounds; Organooxygen compounds; Amines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	222,160	1338	625965046512329583	625964165259695960	5
1	C15H15N3O	[M + H]+	C15H16N3O+	Alkaloids	0,967	Tryptophan alkaloids	0,522	Carboline alkaloids	0,297	Benzenoids	0,970							Benzenoids	0,970	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Organooxygen compounds; Azoles; Benzenoids; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	254,129	1338	625965129672796393	625964165481994077	6
1	C26H29NO4	[M + H]+	C26H30NO4+	Alkaloids	0,982	Tyrosine alkaloids	0,979	Isoquinoline alkaloids	0,811	Organoheterocyclic compounds	0,947	Isoquinolines and derivatives	0,553	Naphthylisoquinolines	0,510			Naphthylisoquinolines	0,510	Organic compounds; Organoheterocyclic compounds; Naphthalenes; Phenanthrenes and derivatives; Alkyl aryl ethers; Anisoles; Ethers; Organonitrogen compounds; Alkaloids and derivatives; Organooxygen compounds; Quinolines and derivatives; Benzoquinolines; Naphthylisoquinolines; Phenol ethers; Benzenoids; Amines; Tertiary amines; Isoquinolines and derivatives; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	420,217	1338	625965290188813548	625964165809149794	7
1	C15H11N5	[M + H]+	C15H12N5+	Alkaloids	0,999	Tryptophan alkaloids	0,968	Carboline alkaloids	0,932	Organoheterocyclic compounds	0,997	Indoles and derivatives	0,820	Indoles	0,845			Indoles	0,845	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Pyridines and derivatives; Pyrroles; Indoles and derivatives; Organonitrogen compounds; Aminopyrimidines and derivatives; Diazines; Benzenoids; Amines; Primary amines; Indoles; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	262,109	1338	625965166767221842	625964166065002343	8
1	C10H12O4	[M + H]+	C10H13O4+	Shikimates and Phenylpropanoids	0,836	Phenolic acids (C6-C1)	0,776	Simple phenolic acids	0,538	Benzenoids	1,000	Phenol ethers	0,999	Anisoles	0,998			Anisoles	0,998	Organic compounds; Aldehydes; Alkyl aryl ethers; Anisoles; Ethers; Benzoyl derivatives; Organooxygen compounds; Benzaldehydes; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Aryl-aldehydes; Organic oxides; Methoxybenzenes; Hydrocarbon derivatives; Organic oxygen compounds; Phenoxy compounds; Chemical entities	197,081	1338	625965137067354616	625964166299883372	9
1	C30H50N2O4	[M + H]+	C30H51N2O4+	Polyketides	0,422	Linear polyketides	0,835	Open-chain polyketides	0,848	Lipids and lipid-like molecules	0,771	Fatty Acyls	0,480	Fatty amides	0,481	N-acyl amines	0,541	N-acyl amines	0,541	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	503,384	1338	625965053307102205	625964166526375793	10
