formulaRank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	formulaId	alignedFeatureId	mappingFeatureId
1	C15H24N2O2	[M + H]+	C15H25N2O2+	181,108	181,108	0,000	50	0,951	3,417	3,894	-0,733		265,191	1338	625965223046393919	625964163967850308	1
1	C21H37N	[M + H]+	C21H38N+	78,906	78,906	0,000	23	0,839	-0,254	0,690	-0,285		304,300	1338	625965267464074218	625964164429223753	2
1	C23H39NO	[M + H]+	C23H40NO+	168,182	168,182	0,000	32	0,862	1,947	1,947	-0,408		346,310	1338	625965202636910197	625964164714436430	3
1	C22H35NO	[M + H]+	C22H36NO+	141,708	141,708	0,000	40	0,856	1,303	1,303	-0,306		330,279	1338	625965042531934852	625964164974483283	4
1	C12H19N3O	[M + H]+	C12H20N3O+	85,642	85,642	0,000	30	0,836	-5,076	5,076	-1,479		222,160	1338	625965046512329583	625964165259695960	5
1	C15H15N3O	[M + H]+	C15H16N3O+	99,390	99,390	0,000	34	0,778	-0,157	3,037	0,163		254,129	1338	625965129672796393	625964165481994077	6
1	C26H29NO4	[M + H]+	C26H30NO4+	139,428	139,428	0,000	48	0,908	-8,866	8,866	0,679		420,217	1338	625965290188813548	625964165809149794	7
1	C15H11N5	[M + H]+	C15H12N5+	58,331	58,331	0,000	24	0,833	-0,813	0,821	0,527		262,109	1338	625965166767221842	625964166065002343	8
1	C10H12O4	[M + H]+	C10H13O4+	151,632	151,632	0,000	32	0,824	1,671	2,540	-0,281		197,081	1338	625965137067354616	625964166299883372	9
1	C30H50N2O4	[M + H]+	C30H51N2O4+	204,449	204,449	0,000	53	0,944	2,247	2,247	-0,247		503,384	1338	625965053307102205	625964166526375793	10
1	C21H22O6	[M + H]+	C21H23O6+	86,356	86,356	0,000	27	0,881	-2,751	2,751	0,418		371,149	1338	625965196966211068	625964166736090998	11
1	C9H10O5	[M - H2O + H]+	C9H9O4+	71,071	71,071	0,000	7	0,715	-0,823	2,448	-99477,292		181,050	1338	625965206084628239	625964166950000507	12
