formulaRank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	formulaId	alignedFeatureId	mappingFeatureId
1	C27H30O16	[M + H]+	C27H31O16+	34,487	34,487	0,000	8	0,960	-1,738	1,738	0,899		611,161	84	622706242988121966	622705969787929928	622705969787929928
2	C22H36O17	[M + K]+	C22H36KO17+	30,923	30,923	0,000	8	0,960	-0,705	1,649	4,586		611,161	84	622706242988121967	622705969787929928	622705969787929928
3	C25H32O16	[M + Na]+	C25H32NaO16+	28,868	28,868	0,000	6	0,907	1,898	1,913	4,835		611,161	84	622706242988121968	622705969787929928	622705969787929928
4	C26H28N4O12	[M + Na]+	C26H28N4NaO12+	28,585	28,585	0,000	8	0,988	-1,065	2,967	2,647		611,161	84	622706242988121969	622705969787929928	622705969787929928
5	C28H32N2O11	[M + K]+	C28H32KN2O11+	26,395	26,395	0,000	9	0,994	-7,252	7,252	-4,185		611,161	84	622706242988121970	622705969787929928	622705969787929928
6	C32H26N4O7S	[M + H]+	C32H27N4O7S+	25,008	25,008	0,000	8	0,960	-0,319	1,570	2,804		611,161	84	622706242988121971	622705969787929928	622705969787929928
7	C24H28N8O9	[M + K]+	C24H28KN8O9+	24,899	24,899	0,000	7	0,942	-1,253	1,487	0,209		611,161	84	622706242988121972	622705969787929928	622705969787929928
8	C31H28N2O10	[M + Na]+	C31H28N2NaO10+	24,860	24,860	0,000	9	0,994	-7,573	7,573	-3,936		611,161	84	622706242988121973	622705969787929928	622705969787929928
9	C24H22N10O10	[M + H]+	C24H23N10O10+	22,170	22,170	0,000	8	0,988	-0,442	1,570	3,104		611,161	84	622706242988121974	622705969787929928	622705969787929928
10	C35H28N2O6	[M + K]+	C35H28KN2O6+	21,633	21,633	0,000	9	0,994	1,058	2,107	5,425		611,161	84	622706242988121975	622705969787929928	622705969787929928
1	C9H14N6O5	[M + Na]+	C9H14N6NaO5+	26,280	26,280	0,000	9	0,765	2,594	6,936	8,963		309,095	123	622706274768365048	622705969896981844	622705969896981844
2	C10H16N2O9	[M + H]+	C10H17N2O9+	21,843	21,843	0,000	8	0,547	2,047	3,953	5,507		309,095	123	622706274768365049	622705969896981844	622705969896981844
3	C9H22N2O4S2	[M + Na]+	C9H22N2NaO4S2+	20,289	20,289	0,000	11	0,677	4,505	4,505	10,478		309,095	123	622706274768365050	622705969896981844	622705969896981844
4	C11H12N6O5	[M + H]+	C11H13N6O5+	20,011	20,011	0,000	8	0,570	-4,609	5,333	1,180		309,095	123	622706274768365051	622705969896981844	622705969896981844
5	C11H20N2O4S2	[M + H]+	C11H21N2O4S2+	16,014	16,014	0,000	8	0,597	-1,469	6,296	2,695		309,095	123	622706274768365052	622705969896981844	622705969896981844
6	C11H16N3O6	[M + Na]+	C11H16N3NaO6+	14,165	14,165	0,000	9	0,708	1,464	4,281	4,619		309,095	123	622706274768365053	622705969896981844	622705969896981844
7	C8H18N2O9	[M + Na]+	C8H18N2NaO9+	13,065	13,065	0,000	5	0,471	1,668	3,405	13,290		309,095	123	622706274768365054	622705969896981844	622705969896981844
8	C13H18O7	[M + Na]+	C13H18NaO7+	13,040	13,040	0,000	2	0,201	-1,968	6,008	0,275		309,095	123	622706274768365055	622705969896981844	622705969896981844
9	C6H18N6O6	[M + K]+	C6H18KN6O6+	12,669	12,669	0,000	7	0,461	0,901	6,488	8,471		309,095	123	622706274768365056	622705969896981844	622705969896981844
10	C14H16N2O4S	[M + H]+	C14H17N2O4S+	12,403	12,403	0,000	7	0,246	0,681	4,972	13,602		309,095	123	622706274768365057	622705969896981844	622705969896981844
1	C13H20O3	[M + Na]+	C13H20NaO3+	129,936	129,936	0,000	34	0,825	0,060	0,595	9,032		247,133	138	622706770237311791	622705970022810971	622705970022810971
2	C13H16N3O2	[M + H]+	C13H17N3O2+	129,564	129,564	0,000	43	0,892	-0,050	0,774	4,731		247,133	138	622706770237311792	622705970022810971	622705970022810971
3	C11H14N6O	[M + H]+	C11H15N6O+	108,465	108,465	0,000	37	0,807	0,209	0,805	10,164		247,133	138	622706770237311793	622705970022810971	622705970022810971
4	C11H18N3O2	[M + Na]+	C11H18N3NaO2+	102,274	102,274	0,000	40	0,841	0,159	1,793	14,465		247,133	138	622706770237311794	622705970022810971	622705970022810971
