formulaRank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	formulaId	alignedFeatureId	mappingFeatureId
1	C27H30O16	[M + H]+	C27H31O16+	34,487	34,487	0,000	8	0,960	-1,738	1,738	0,899		611,161	84	622706242988121966	622705969787929928	622705969787929928
1	C9H14N6O5	[M + Na]+	C9H14N6NaO5+	26,280	26,280	0,000	9	0,765	2,594	6,936	8,963		309,095	123	622706274768365048	622705969896981844	622705969896981844
1	C13H20O3	[M + Na]+	C13H20NaO3+	129,936	129,936	0,000	34	0,825	0,060	0,595	9,032		247,133	138	622706770237311791	622705970022810971	622705970022810971
1	C13H17N7O2	[M + H]+	C13H18N7O2+	51,616	51,616	0,000	17	0,936	1,524	2,485	9,240		304,154	73	622706072384802603	622705970102502754	622705970102502754
1	C10H8O4	[M + H]+	C10H9O4+	81,112	81,112	0,000	15	0,789	-0,150	1,885	-1,825		193,049	121	622706274281825730	622705970182194536	622705970182194536
1	C15H26N2	[M + H]+	C15H27N2+	74,422	74,422	0,000	24	0,737	-0,135	4,131	-0,063		235,217	49	622706090890072860	622705970354161009	622705970354161009
1	C32H43NO9	[M + H]+	C32H44NO9+	64,114	64,114	0,000	24	0,774	0,496	1,154	-0,369		586,301	187	622706862214213647	622705970446435703	622705970446435703
1	C9H10O5	[M + H]+	C9H11O5+	61,390	61,390	0,000	14	0,828	5,510	5,795	0,866		199,060	81	622706102097253658	622705970530321791	622705970530321791
1	C20H24N2O	[M + H]+	C20H25N2O+	121,439	121,439	0,000	47	0,900	1,304	1,668	1,186		309,197	94	622706269328352457	622705970618402181	622705970618402181
1	C10H13N5	[M + H]+	C10H14N5+	31,527	31,527	0,000	4	0,697	3,831	3,865	-1,458		204,124	83	622706069721419380	622705970689705356	622705970689705356
