feature_id,novelty_score
1,0.22
2,0.21
3,0.26
4,0.16
5,0.04
6,1
7,0.18
8,0.07
9,0.14
10,1
11,0.05
12,0.03
13,0.03
14,0.02
15,0.1
16,0.09
17,0.01
18,0.28
19,0.08
20,0.14
21,0.1
22,0.07
23,1
24,0.19
25,0.03
26,0.3
27,1
28,0.12
29,0.07
30,0.01
31,0.14
32,0.11
33,0.13
34,0.07
35,0.03
36,0.13
37,0.02
38,0.04
39,0.23
40,0.19
41,0.2
42,0.19
43,0.22
44,0.17
45,0.2
46,0.09
47,0.01
48,0.06
49,0.03
50,0.04
51,0.09
52,0.1
53,0.01
54,0.02
55,0.03
56,0.07
57,0.22
58,0.06
59,0.07
60,0.03
61,0.02
62,0.22
63,0.15
64,0.03
65,0.02
66,0.04
67,0.06
68,0.06
69,0.04
70,0.22
71,0.08
72,0.03
73,0.11
74,0.05
75,0.11
76,0.04
77,0.25
78,0.08
79,0.09
80,0.07
81,0.22
82,0.09
83,0.02
84,0.08
85,0.18
86,0.18
87,0.09
88,0.03
89,0.21
90,0.23
91,0.18
92,0.14
93,0.17
94,0.18
95,0.18
