id	k ranking	gnps ranking	sirius ranking	isdb ranking	WIGAS ranking
4	1	1	25	3	1
11	2	1	5	4	14
36	3	1	19	8	8
10	4	1	6	7	15
16	5	1	16	20	9
65	6	1	27	14	6
8	7	1	13	17	19
90	8	1	35	9	4
3	9	1	8	52	21
88	10	1	29	65	3
58	11	1	24	71	16
28	12	1	46	63	2
93	13	1	4	30	26
59	14	1	39	53	12
29	15	1	48	61	7
56	16	1	30	70	13
40	17	1	15	90	18
2	18	1	49	68	5
55	19	1	52	48	10
53	20	1	47	72	17
21	21	1	7	37	31
14	22	1	37	22	30
7	23	1	57	13	28
57	24	1	53	54	29
75	25	1	33	39	35
54	26	1	50	83	34
106	27	1	1	89	32
98	28	1	73	1	22
52	29	1	38	66	37
42	30	1	79	12	11
81	31	1	75	19	20
39	32	1	22	25	47
80	33	1	51	18	45
91	34	1	81	50	24
83	35	1	3	38	52
100	36	1	65	85	39
51	37	1	54	2	51
85	38	1	83	84	25
64	39	1	36	16	49
66	40	1	63	44	43
27	41	55	18	75	54
104	42	1	56	27	40
41	43	1	68	5	46
22	44	1	58	15	53
72	45	1	86	49	33
97	46	56	12	79	56
33	47	1	80	51	42
71	48	1	74	80	44
74	49	1	69	31	48
37	50	1	95	23	23
105	51	59	44	46	59
44	52	1	96	81	27
34	53	60	43	58	60
76	54	1	90	34	36
86	55	63	41	86	63
48	56	68	10	40	68
46	57	1	92	82	38
49	58	69	40	28	69
32	59	58	72	47	58
35	60	65	60	43	65
1	61	62	61	95	62
87	62	61	59	77	61
82	63	71	14	33	71
78	64	1	91	11	41
17	65	1	93	56	50
31	66	1	88	59	55
102	67	57	82	64	57
70	68	70	64	57	70
103	69	75	45	73	75
13	70	66	11	32	66
38	71	72	62	55	72
61	72	67	20	41	67
101	73	73	32	94	73
20	74	78	21	42	78
50	75	64	87	35	64
67	76	79	34	36	79
73	77	84	28	21	84
89	78	87	9	6	87
68	79	83	31	88	83
96	80	82	66	26	82
45	81	76	42	29	76
77	82	74	26	93	74
99	83	85	76	10	85
60	84	77	84	78	77
23	85	92	17	91	92
26	86	90	70	69	90
43	87	91	67	60	91
79	88	93	55	96	93
94	89	86	94	62	86
47	90	80	85	45	80
30	91	95	78	24	95
95	92	81	89	74	81
92	93	94	23	92	94
25	94	89	77	87	89
18	95	96	2	67	96
69	96	88	71	76	88
