structurePerIdRank	formulaRank	ConfidenceScoreExact	ConfidenceScoreApproximate	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	precursorFormula	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	formulaId	alignedFeatureId	mappingFeatureId
1	3	0.04434277013538916	0.04434277013538916	-345.90322060184116	nul	96,249	C14H27ClN2O4	[M + H]+	C14H28ClN2O4+	SKMKOGRONQYSRC	InChI=1S/C14H27ClN2O4/c1-2-3-11-20-14(19)17-10-12-21-13(18)16-9-7-5-4-6-8-15/h2-12H2,1H3,(H,16,18)(H,17,19)	butyl N-(2-{[(6-chlorohexyl)carbamoyl]oxy}ethyl)carbamate	CCCCOC(=O)NCCOC(=O)NCCCCCCCl	2,900	71675443	COCONUT:(CNP0060397);PUBCHEM:(71675443)	2097154	323,175	246	585823084725049170	585822185734696567	3
1	1	0.07830405066460225	0.07830405066460225	-181.9441302952185	nul	36,302	C17H22N8O2	[M + H]+	C17H23N8O2+	KCSBBTBUVYNUSD	InChI=1S/C17H22N8O2/c1-18-13-8-20-11(6-22-13)15(26)24-10-17(4-3-5-17)25-16(27)12-7-23-14(19-2)9-21-12/h6-9H,3-5,10H2,1-2H3,(H,18,22)(H,19,23)(H,24,26)(H,25,27)	5-(methylamino)-N-[[1-[[5-(methylamino)pyrazine-2-carbonyl]amino]cyclobutyl]methyl]pyrazine-2-carboxamide	CNC1=NC=C(N=C1)C(=O)NCC2(CCC2)NC(=O)C3=CN=C(C=N3)NC	-0,100	166246665	PUBCHEM:(166246665)	2	371,196	260	585823089196177573	585822185998937724	4
1	2	0.694024758426145	0.7586051835820342	-102.38137286173587	nul	66,958	C19H24N2	[M + H]+	C19H25N2+	BIBZWCCWSCCFBB	InChI=1S/C19H24N2/c1-2-5-15-14(4-1)19-11-13-21-12-3-6-17(16(19)21)7-9-18(19,20-15)10-8-17/h1-2,4-5,16,20H,3,6-13H2	Aspidofractinine	C1CC23CCC4(CC2)C5(C3N(C1)CC5)C6=CC=CC=C6N4	3,400	9548854;101679216;534349	COCONUT:(CNP0137793);CHEBI:(35918);SUPERNATURAL:(SN0026131);MESH:(9548854);PUBCHEM:(9548854 101679216 534349);GNPS:(CCMSLIB00004679949);LOTUS:(Q104936366)	271585318	281,201	361	585823099287673632	585822186456116875	9
1	2	0.3384920930856498	0.3384920930856498	-115.38152272757424	nul	37,244	C10H26N4O3S	[M + H]+	C10H27N4O3S+	DHYOHKORBULIAZ	InChI=1S/C10H26N4O3S/c1-5-18(6-2,7-3,8-4,14-10(12)16)17-13-9(11)15/h5-8H2,1-4H3,(H3,11,13,15)(H3,12,14,16)	[(Carbamoylamino)oxy-tetraethyl-lambda6-sulfanyl]urea	CCS(CC)(CC)(CC)(NC(=O)N)ONC(=O)N	0,300	87858105	PUBCHEM:(87858105)	2	283,181	406	585822999245129424	585822186888130202	14
1	1	0.502507363651113	0.502507363651113	-257.5473024820745	nul	69,057	C20H26N2O3	[M + H]+	C20H27N2O3+	DCLUPSCVJQXNCE	InChI=1S/C20H26N2O3/c1-11(23)14-7-12-8-15-18(14)22(10-12)6-5-20(24)16-9-13(25-2)3-4-17(16)21-19(15)20/h3-4,9,11-12,14-15,18,23-24H,5-8,10H2,1-2H3	Iboxygaine Hydroxyindolenine	CC(C1CC2CC3C1N(C2)CCC4(C3=NC5=C4C=C(C=C5)OC)O)O	1,300	101586386;162983310;185547	COCONUT:(CNP0255695);SUPERNATURAL:(SN0062074);PUBCHEM:(101586386 162983310 185547);DSSTox:(DTXSID10946445);KNAPSACK:(DCLUPSCVJQXNCE-UHFFFAOYSA-N)	137442099218	343,201	446	585823087287769057	585822187018153631	16
1	1	0.024344617213393996	0.024344617213393996	-291.36244361111136	nul	59,717	C20H26N4O4	[M + H]+	C20H27N4O4+	DZJUWKHCEWUVPI	InChI=1S/C20H26N4O4/c1-15-7-5-9-17(13-15)23(27)19(25)21-11-3-4-12-22-20(26)24(28)18-10-6-8-16(2)14-18/h5-10,13-14,27-28H,3-4,11-12H2,1-2H3,(H,21,25)(H,22,26)	3-hydroxy-1-(4-{[hydroxy(3-methylphenyl)carbamoyl]amino}butyl)-3-(3-methylphenyl)urea	CC1=CC(=CC=C1)N(C(=O)NCCCCNC(=O)N(C2=CC=CC(=C2)C)O)O	2,500	71675526	COCONUT:(CNP0064515);PUBCHEM:(71675526)	2097154	387,205	457	585823145005589428	585822187127205540	20
1	1	0.03530609725625755	0.03530609725625755	-229.44045221670117	nul	137,319	C12H26N4O4S	[M + H]+	C12H27N4O4S+	ZOODMCDMXUIBHZ	InChI=1S/C12H26N4O4S/c1-3-5-7-9-13-11(17)15-21(19,20)16-12(18)14-10-8-6-4-2/h3-10H2,1-2H3,(H2,13,15,17)(H2,14,16,18)	1-Pentyl-3-(pentylcarbamoylsulfamoyl)urea	CCCCCNC(=O)NS(=O)(=O)NC(=O)NCCCCC	1,900	119095096	PUBCHEM:(119095096)	2	323,175	489	585823108393508110	585822187261423273	22
1	2	0.21938548424265472	0.396468014414935	-199.8878067645339	nul	58,203	C20H22N2O	[M + H]+	C20H23N2O+	OSDKLAWGBKECPL	InChI=1S/C20H22N2O/c1-3-12-10-22-18-9-15-13-6-4-5-7-17(13)21(2)20(15)19(22)8-14(12)16(18)11-23/h3-7,11,14,16,18-19H,8-10H2,1-2H3	15-ethylidene-3-methyl-3,17-diazapentacyclo[12.3.1.0²,¹⁰.0⁴,⁹.0¹²,¹⁷]octadeca-2(10),4,6,8-tetraene-13-carbaldehyde	CC=C1CN2C3CC1C(C2CC4=C3N(C5=CC=CC=C45)C)C=O	1,900	101067954;101222191;163025340;11185847;11347322;11529625;72811038	COCONUT:(CNP0302822);SUPERNATURAL:(SN0273819);MESH:(101222191);PUBCHEM:(101067954 101222191 163025340 11185847 11347322 11529625 72811038)	3145734	307,180	494	585823057365602554	585822187391446702	24
1	1	0.38521465759776896	0.7201258100731031	-89.50607094648603	nul	100,394	C21H24N2O2	[M + H]+	C21H25N2O2+	QBRYFKNKDKXNFZ	InChI=1S/C21H24N2O2/c1-3-13-10-14-11-15(20(24)25-2)18-21(8-9-23(12-13)19(14)21)16-6-4-5-7-17(16)22-18/h4-7,10,14,19,22H,3,8-9,11-12H2,1-2H3	methyl 14-ethyl-8,16-diazapentacyclo[10.6.1.0¹,⁹.0²,⁷.0¹⁶,¹⁹]nonadeca-2,4,6,9,13-pentaene-10-carboxylate	CCC1=CC2CC(=C3C4(C2N(C1)CC4)C5=CC=CC=C5N3)C(=O)OC	2,800	11110475;12314666;12314667	SUPERNATURAL:(SN0301019);COCONUT:(CNP0263229);MESH:(11110475);PUBCHEM:(11110475 12314666 12314667)	3145734	337,191	510	585823035072875740	585822187617939128	26
1	1	0.7858345809801872	0.8242421907580185	-152.30637057019177	nul	49,842	C21H24N2O5	[M + H]+	C21H25N2O5+	WDOSCDMZYXDQLB	InChI=1S/C21H24N2O5/c1-11-14-9-23-6-5-21(16-7-12(24)3-4-17(16)22-20(21)26)18(23)8-13(14)15(10-28-11)19(25)27-2/h3-4,7,10-11,13-14,18,24H,5-6,8-9H2,1-2H3,(H,22,26)	methyl 5-hydroxy-1'-methyl-2-oxo-1,1',2,4'a,5',5'a,7',8',10',10'a-decahydrospiro[indole-3,6'-pyrano[3,4-f]indolizine]-4'-carboxylate	CC1C2CN3CCC4(C3CC2C(=CO1)C(=O)OC)C5=C(C=CC(=C5)O)NC4=O	1,300	102094751;162997025	SUPERNATURAL:(SN0407442);COCONUT:(CNP0270488);PUBCHEM:(102094751 162997025);LOTUS:(Q104394619)	271581186	385,176	518	585823143428531015	585822187886374594	30
1	1	0.6752972640634871	0.7260511116986063	-29.17333223105105	nul	21,239	C10H9N	[M + H]+	C10H10N+	SMUQFGGVLNAIOZ	InChI=1S/C10H9N/c1-8-6-7-9-4-2-3-5-10(9)11-8/h2-7H,1H3	2-methylquinoline	CC1=NC2=CC=CC=C2C=C1	2,669	21766640;4237628;101608398;153918964;10511001;10558765;10773177;10796984;7060;122215038	HMDB:(HMDB0042004);BloodExposome:(44154 7060);SUPERNATURAL:(SN0349825);MESH:(7060);PUBCHEM:(21766640 4237628 101608398 153918964 10511001 10558765 10773177 10796984 7060 122215038);NORMAN:(NS00021384 NS00088082);COCONUT:(CNP0281354);METACYC:(CPD-5944);CHEBI:(132813);LOTUS:(Q415376);DSSTox:(DTXSID3040271 DTXSID30962900 DTXSID5050393)	137714993198	144,080	523	585823116454960992	585822188008009415	31
1	2	0.043752556579605834	0.043752556579605834	-369.7210635790982	nul	29,763	C23H31N3O2	[M + H]+	C23H32N3O2+	WHFCSKJBZCDEKG	InChI=1S/C23H31N3O2/c1-15(2)10-11-18-8-7-9-20-19(14-25-21(18)20)12-13-24-23(28)22(16(3)4)26(6)17(5)27/h7-10,12-14,16,22,25H,11H2,1-6H3,(H,24,28)	(S,E)-3-Methyl-2-(N-Methylacetamido)-N-(2-(7-(3-Methylbut-2-Enyl)-1H-Indol-3-Yl)Vinyl)Butanamide	CC(C)C(C(=O)NC=CC1=CNC2=C(C=CC=C12)CC=C(C)C)N(C)C(=O)C	4,500	162873978;76191535;54765278	SUPERNATURAL:(SN0410214);COCONUT:(CNP0138886);PUBCHEM:(162873978 76191535 54765278);LOTUS:(Q75059732)	271581186	382,248	526	585823021093259860	585822188129644236	34
1	1	0.01686317296379397	0.01686317296379397	-216.50148770527684	nul	116,661	C13H24N6O2	[M + H]+	C13H25N6O2+	UHRNLYDCNCAXBH	InChI=1S/C13H24N6O2/c1-4-5-16-6-10-9(2)17-18(3)13(10)19(7-11(14)20)8-12(15)21/h16H,4-8H2,1-3H3,(H2,14,20)(H2,15,21)	2-[(2-Amino-2-oxoethyl)-[2,5-dimethyl-4-(propylaminomethyl)pyrazol-3-yl]amino]acetamide	CCCNCC1=C(N(N=C1C)C)N(CC(=O)N)CC(=O)N	-0,800	62922629	PUBCHEM:(62922629)	2	297,204	536	585823033281907842	585822188259667665	36
1	2	0.48159151485069407	0.48159151485069407	-111.67427300704078	nul	69,962	C19H22N2	[M + H]+	C19H23N2+	XGOIUNFXMAIFSF	InChI=1S/C19H22N2/c1-2-7-14-13(6-1)12-21-11-5-9-16-15-8-3-4-10-17(15)20-18(16)19(14)21/h1-4,8,10,13-14,19-20H,5-7,9,11-12H2	10,21-diazapentacyclo[12.7.0.0²,¹⁰.0³,⁸.0¹⁵,²⁰]henicosa-1(14),5,15,17,19-pentaene	C1CC2=C(C3C4CC=CCC4CN3C1)NC5=CC=CC=C25	3,800	4433666;6556554;7076705;7076707;6345826;928811;3708291;1403311;11872896;11872897;11872898;11872899;11872900;11872901	SUPERNATURAL:(SN0429601);PUBCHEM:(4433666 6556554 7076705 7076707 6345826 928811 3708291 1403311 11872896 11872897 11872898 11872899 11872900 11872901);COCONUT:(CNP0179570)	3145730	279,185	542	585823098708859616	585822188666515168	40
1	2	0.43230761640204024	0.43230761640204024	-142.9124447621377	nul	44,571	C19H24N2	[M + H]+	C19H25N2+	BIBZWCCWSCCFBB	InChI=1S/C19H24N2/c1-2-5-15-14(4-1)19-11-13-21-12-3-6-17(16(19)21)7-9-18(19,20-15)10-8-17/h1-2,4-5,16,20H,3,6-13H2	Aspidofractinine	C1CC23CCC4(CC2)C5(C3N(C1)CC5)C6=CC=CC=C6N4	3,400	9548854;101679216;534349	COCONUT:(CNP0137793);CHEBI:(35918);SUPERNATURAL:(SN0026131);MESH:(9548854);PUBCHEM:(9548854 101679216 534349);GNPS:(CCMSLIB00004679949);LOTUS:(Q104936366)	271585318	281,201	542	585823044908519056	585822188771372773	41
1	1	0.019313497988559518	0.019313497988559518	-376.5667876139435	nul	20,292	C25H39NO4	[M + H]+	C25H40NO4+	BJEDIGDSPYXOHZ	InChI=1S/C25H39NO4/c1-16(2)25(29-4)10-9-23(15-30-25)17-5-7-22-8-6-18-19(21(27)28-3)11-24(23,20(18)22)14-26(12-17)13-22/h16-20H,5-15H2,1-4H3	Daphnipaxianine D	CC(C)C1(CCC2(CO1)C3CCC45CCC6C4C2(CC6C(=O)OC)CN(C3)C5)OC	3,600	101443290;74080682;23655745;162855111;162855112;44445589	COCONUT:(CNP0117850);TeroMol:(TKC162781 TKC205534);SUPERNATURAL:(SN0027010);PUBCHEM:(101443290 74080682 23655745 162855111 162855112 44445589);LOTUS:(Q110198321)	279969794	418,297	542	585823077565371765	585822188855258858	43
1	2	0.0465576733180775	0.0465576733180775	-552.0233652196754	nul	8,783	C38H48N2O4	[M + H]+	C38H49N2O4+	GAIDVXOCFSQOLN	InChI=1S/C38H48N2O4/c1-3-5-10-28-38-19-13-25(32(33(38)35(42)44-28)37(17-8-9-18-37)23-14-20-40-29(39)21-23)24-11-12-26-27(43-34(41)30(26)31(24)38)22-36(4-2)15-6-7-16-36/h10,14,21-22,24-25,31,40H,3-9,11-13,15-20,39H2,1-2H3		CCCC=C1C23CCC(C4C2C5=C(CC4)C(=CC6(CCCC6)CC)OC5=O)C(=C3C(=O)O1)C7(CCCC7)C8=CCNC(=C8)N	8,200	163130693;163130694	SUPERNATURAL:(SN0100366);COCONUT:(CNP0445689);PUBCHEM:(163130693 163130694)	3145730	597,371	542	585823096100002390	585822188955922159	45
