ID	6 | 0.02	6 | 0.1	6 | 10	6 | 25	6 | 50	6 | 100	6 | 250	6 | 500	6 | 1000	5 | 0.02	5 | 0.1	5 | 10	5 | 25	5 | 50	5 | 100	5 | 250	5 | 500	5 | 1000	4 | 0.02	4 | 0.1	4 | 10	4 | 25	4 | 50	4 | 100	4 | 250	4 | 500	4 | 1000
2560	no match	no match	no match	no match	no match	no match	no match	no match	no match	no match	no match	no match	no match	no match	no match	no match	no match	no match	no match	no match	no match	no match	CCMSLIB00003139560	CCMSLIB00003139560	CCMSLIB00003139560	CCMSLIB00003139560	CCMSLIB00003139560
2563	no match	no match	no match	CCMSLIB00005463508	CCMSLIB00005463508	CCMSLIB00005463508	CCMSLIB00005463509	CCMSLIB00005463509	CCMSLIB00005463509	no match	no match	no match	CCMSLIB00005463508	CCMSLIB00005463508	CCMSLIB00006573474	CCMSLIB00012269360	CCMSLIB00012269360	CCMSLIB00012269360	no match	no match	CCMSLIB00012466555	CCMSLIB00000079655	CCMSLIB00010122815	CCMSLIB00010122815	CCMSLIB00010122815	CCMSLIB00010122815	CCMSLIB00010122815
2572	CCMSLIB00000081143	CCMSLIB00000081143	CCMSLIB00000081143	CCMSLIB00000081143	CCMSLIB00000081143	CCMSLIB00000081143	CCMSLIB00000081143	CCMSLIB00000081143	CCMSLIB00000081143	CCMSLIB00000081143	CCMSLIB00000081143	CCMSLIB00000081143	CCMSLIB00000081143	CCMSLIB00000081143	CCMSLIB00000081143	CCMSLIB00000081143	CCMSLIB00000081143	CCMSLIB00000081143	CCMSLIB00000081143	CCMSLIB00000081143	CCMSLIB00000081143	CCMSLIB00000081143	CCMSLIB00000081143	CCMSLIB00000081143	CCMSLIB00000081143	CCMSLIB00000081143	CCMSLIB00000081143
2573	no match	no match	no match	no match	no match	no match	CCMSLIB00005463509	CCMSLIB00005463509	CCMSLIB00005463509	no match	no match	no match	no match	CCMSLIB00000478489	CCMSLIB00000478489	CCMSLIB00012267027	CCMSLIB00012267027	CCMSLIB00012267027	no match	no match	CCMSLIB00000478491	CCMSLIB00004702578	CCMSLIB00006448297	CCMSLIB00006448297	CCMSLIB00012266281	CCMSLIB00012266281	CCMSLIB00012266281
1550	no match	no match	no match	no match	CCMSLIB00005463505	CCMSLIB00005463505	CCMSLIB00006575625	CCMSLIB00006575625	CCMSLIB00006575625	no match	no match	no match	no match	CCMSLIB00005463505	CCMSLIB00006573455	CCMSLIB00000078477	CCMSLIB00000078477	CCMSLIB00000078477	no match	no match	CCMSLIB00004717088	CCMSLIB00004717088	CCMSLIB00012465822	CCMSLIB00012465822	CCMSLIB00012465822	CCMSLIB00012465822	CCMSLIB00012465822
2066	no match	no match	no match	no match	no match	no match	CCMSLIB00005463505	CCMSLIB00005463505	CCMSLIB00005463505	no match	no match	no match	no match	no match	no match	CCMSLIB00005463505	CCMSLIB00012267409	CCMSLIB00012267409	no match	no match	no match	no match	no match	CCMSLIB00005725193	CCMSLIB00005725193	CCMSLIB00012286361	CCMSLIB00012286361
531	no match	no match	CCMSLIB00012468594	CCMSLIB00012468594	CCMSLIB00012468594	CCMSLIB00012468594	CCMSLIB00012468594	CCMSLIB00012468594	CCMSLIB00012468594	no match	no match	CCMSLIB00012451395	CCMSLIB00012451395	CCMSLIB00012451395	CCMSLIB00006440946	CCMSLIB00006440946	CCMSLIB00006440946	CCMSLIB00006440946	no match	CCMSLIB00012468904	CCMSLIB00010113241	CCMSLIB00010113241	CCMSLIB00010113241	CCMSLIB00012725695	CCMSLIB00012725695	CCMSLIB00012725695	CCMSLIB00012725695
2082	no match	no match	no match	CCMSLIB00005463504	CCMSLIB00005463504	CCMSLIB00005463504	CCMSLIB00005463504	CCMSLIB00005463504	CCMSLIB00005463504	no match	no match	CCMSLIB00000004630	CCMSLIB00000004630	CCMSLIB00000004630	CCMSLIB00006575650	CCMSLIB00010120500	CCMSLIB00010120500	CCMSLIB00010120500	no match	no match	CCMSLIB00000004630	CCMSLIB00004698223	CCMSLIB00012376908	CCMSLIB00006569813	CCMSLIB00010120500	CCMSLIB00010120500	CCMSLIB00010120500
37	no match	no match	no match	no match	no match	no match	no match	no match	no match	no match	no match	no match	no match	no match	no match	CCMSLIB00005463504	CCMSLIB00005463504	CCMSLIB00005463504	no match	no match	no match	no match	CCMSLIB00005772316	CCMSLIB00012418248	CCMSLIB00012418248	CCMSLIB00012418248	CCMSLIB00012418248
41	no match	no match	no match	no match	no match	CCMSLIB00001059253	CCMSLIB00001059253	CCMSLIB00001059253	CCMSLIB00001059253	CCMSLIB00012474646	CCMSLIB00012474646	CCMSLIB00012474646	CCMSLIB00012474646	CCMSLIB00012474663	CCMSLIB00001059253	CCMSLIB00001059253	CCMSLIB00001059253	CCMSLIB00001059253	CCMSLIB00012474646	CCMSLIB00012474646	CCMSLIB00012474646	CCMSLIB00012474646	CCMSLIB00012474663	CCMSLIB00001059253	CCMSLIB00001059253	CCMSLIB00001059253	CCMSLIB00001059253
