ID	inchi_gnps	score_gnps	inchi_sirius	score_sirius	inchi_isdb	score_isdb	tgs	tgi	tsi	K	ranking by k
2574	#	0.0	#	0.5	#	0.0	0.25	0.0	0.25	-5.5	1
2460	#	0.0	#	0.5	#	0.0	0.25	0.0	0.25	-5.5	2
2559	#	0.0	#	0.5	#	0.0	0.25	0.0	0.25	-5.5	3
2575	InChI=1S/C21H20O12/c22-6-13-15(26)17(28)19(30)21(33-13)32-11-2-1-7(3-9(11)24)20-18(29)16(27)14-10(25)4-8(23)5-12(14)31-20/h1-5,13,15,17,19,21-26,28-30H,6H2/t13-,15-,17+,19-,21-/m1/s1	0.00223509	#	0.5	#	0.0	0.25	0.0	0.25	-5.4776491	4
2577	InChI=1S/C21H20O12/c22-6-13-15(27)17(29)18(30)21(32-13)33-20-16(28)14-11(26)4-8(23)5-12(14)31-19(20)7-1-2-9(24)10(25)3-7/h1-5,13,15,17-18,21-27,29-30H,6H2/t13-,15+,17+,18-,21+/m1/s1	0.006439880000000001	#	0.5	#	0.0	0.25	0.0	0.25	-5.4356012	5
2041	#	0.0	InChI=1S/C12H15ClN2O3/c1-7(2)10(11(16)17)15-12(18)14-9-5-3-8(13)4-6-9/h3-7,10H,1-2H3,(H,16,17)(H2,14,15,18)	0.0271983763894809	#	0.0	0.0	0.0	0.0	-5.432004059026298	6
2254	#	0.0	InChI=1S/C27H37N3O2/c1-26(2,3)22-9-11-27(12-10-22,29-13-4-5-14-29)16-25(32)28-17-20-15-21(19-28)23-7-6-8-24(31)30(23)18-20/h4-8,13-14,20-22H,9-12,15-19H2,1-3H3	0.0341904383401843	#	0.0	0.0	0.0	0.0	-5.414523904149539	7
1850	InChI=1S/C16H18O9/c17-9-3-1-8(5-10(9)18)2-4-13(20)25-12-7-16(24,15(22)23)6-11(19)14(12)21/h1-5,11-12,14,17-19,21,24H,6-7H2,(H,22,23)/b4-2+/t11-,12-,14-,16+/m1/s1	0.011876129999999999	#	0.5	#	0.0	0.25	0.0	0.25	-5.3812387	8
2199	#	0.0	InChI=1S/C10H16N2OS2/c1-3-5-10(6-4-2)7(13)11-9(15)12-8(10)14/h3-6H2,1-2H3,(H2,11,12,13,14,15)	0.0507040200164661	#	0.0	0.0	0.0	0.0	-5.373239949958835	9
2197	#	0.0	#	0.5	InChI=1S/C8H4O3/c9-7-5-3-1-2-4-6(5)8(10)11-7/h1-4H	0.12153447856358991	0.25	0.0	0.25	-5.348081901795513	10
37	*	0.016329555	#	0.5	#	0.0	0.5	0.25	0.25	-5.33670445	11
2499	*	0.0180522	InChI=1S/C32H36N2O7/c1-21-28(30(39)24(19-35)33-21)26(37)17-9-5-3-7-13-22-15-11-12-16-23(22)14-8-4-6-10-18-27(38)29-31(40)25(20-36)34(2)32(29)41/h3-10,12-14,16-18,22-25,33,35-38H,1,11,15,19-20H2,2H3	0.0083480175556116	#	0.0	0.25	0.25	0.0	-5.298607956110971	12
2479	InChI=1S/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2/t13-,15-/m1/s1	0.00569855	InChI=1S/C10H16N2O3/c1-5-10(6-2)7(13)11(3)9(15)12(4)8(10)14/h5-6H2,1-4H3	0.0352065047369008	InChI=1S/C10H16N2O3/c1-6(2)7-8(13)12-5-3-4-10(12,15)9(14)11-7/h6-7,15H,3-5H2,1-2H3,(H,11,14)	0.04932134668326868	0.018867924528301886	0.078125	0.1276595744680851	-5.293346554803662	13
1894	InChI=1S/C21H20O12/c22-6-13-15(27)17(29)18(30)21(32-13)33-20-16(28)14-11(26)4-8(23)5-12(14)31-19(20)7-1-2-9(24)10(25)3-7/h1-5,13,15,17-18,21-27,29-30H,6H2/t13-,15-,17+,18-,21+/m1/s1	0.02166216	#	0.5	#	0.0	0.25	0.0	0.25	-5.2833784	14
2571	#	0.0	InChI=1S/C20H28O3/c1-14(7-6-8-15(2)13-19(22)23)9-10-17-16(3)18(21)11-12-20(17,4)5/h6-10,13,18,21H,11-12H2,1-5H3,(H,22,23)	0.09639139619949	#	0.0	0.0	0.0	0.0	-5.259021509501275	15
2085	InChI=1S/C22H22O12/c1-31-12-4-8(2-3-10(12)25)20-21(17(28)15-11(26)5-9(24)6-13(15)32-20)34-22-19(30)18(29)16(27)14(7-23)33-22/h2-6,14,16,18-19,22-27,29-30H,7H2,1H3/t14-,16-,18+,19-,22+/m1/s1	0.01540588	InChI=1S/C28H37N3O4/c1-35-26-10-6-5-9-25(26)30-17-15-29(16-18-30)13-11-24-21-31(14-12-23(24)20-28(33)34)27(32)19-22-7-3-2-4-8-22/h2-10,23-24H,11-21H2,1H3,(H,33,34)	0.038746540245001	#	0.0	0.12871287128712872	0.0	0.0	-5.2490748493874975	16
2501	InChI=1S/C41H52O16/c1-21(2)37(48)56-32-23(4)31(52-24(5)42)30-35(55-29(46)19-51-38(49)28-15-13-12-14-16-28)40(11,57-27(8)45)20-41(30,50)34(47)22(3)17-18-39(9,10)36(54-26(7)44)33(32)53-25(6)43/h12-18,21-22,30-33,35-36,50H,4,19-20H2,1-3,5-11H3/b18-17+/t22-,30-,31-,32-,33+,35+,36+,40+,41+/m0/s1	0.023810115	InChI=1S/C39H56ClN3O10S/c1-22(2)54-15-11-14-32(45)42(7)25(5)36(47)52-31-19-33(46)43(8)28-18-26(17-27(21-44)34(28)40)16-23(3)12-10-13-30(50-9)39(49)20-29(51-37(48)41-39)24(4)35-38(31,6)53-35/h10,12-13,17-18,22,24-25,29-31,35,44,49H,11,14-16,19-21H2,1-9H3,(H,41,48)	0.0061531680567644	#	0.0	0.14193548387096774	0.0	0.0	-5.246515929858089	17
2240	InChI=1S/C21H24O5/c1-12(2)4-6-16-19(24)10-20-17(21(16)25-3)8-13(11-26-20)15-7-5-14(22)9-18(15)23/h4-5,7,9-10,13,22-24H,6,8,11H2,1-3H3	0.024801909999999996	InChI=1S/C39H42N6O6/c1-4-33(40-23(2)44-36(46)27-9-5-7-25-31(42-15-19-50-20-16-42)13-11-29(34(25)27)38(44)48)41-24(3)45-37(47)28-10-6-8-26-32(43-17-21-51-22-18-43)14-12-30(35(26)28)39(45)49/h5-14,23-24,33,40-41H,4,15-22H2,1-3H3	0.0025739505966085	#	0.0	0.11494252873563218	0.0	0.0	-5.245546023508479	18
1604	InChI=1S/C21H20O12/c22-6-13-15(26)17(28)19(30)21(33-13)32-11-2-1-7(3-9(11)24)20-18(29)16(27)14-10(25)4-8(23)5-12(14)31-20/h1-5,13,15,17,19,21-26,28-30H,6H2/t13-,15-,17+,19-,21-/m1/s1	0.01300626	InChI=1S/C25H34N4O6/c1-14(2)8-18-24(34)28-12-16(30)11-21(28)23(33)27-19(9-15-6-4-3-5-7-15)25(35)29-13-17(31)10-20(29)22(32)26-18/h3-7,14,16-21,30-31H,8-13H2,1-2H3,(H,26,32)(H,27,33)	0.0526812035141413	InChI=1S/C30H34N2O4/c1-35-23-11-6-10-22-27(23)32(25(33)13-12-21-8-4-3-5-9-21)24-14-16-29(20-26(34)36-2)15-7-18-31-19-17-30(22,24)28(29)31/h3-6,8-13,24,28H,7,14-20H2,1-2H3	0.011381397125544424	0.12359550561797752	0.08181818181818182	0.13	-5.224007644807716	19
629	InChI=1S/C22H22O12/c1-31-12-4-8(2-3-10(12)25)20-21(17(28)15-11(26)5-9(24)6-13(15)32-20)34-22-19(30)18(29)16(27)14(7-23)33-22/h2-6,14,16,18-19,22-27,29-30H,7H2,1H3/t14-,16-,18+,19-,22+/m1/s1	0.00310295	InChI=1S/C43H54N8O13/c1-51-23-33(56)47-29(17-25-20-44-28-15-10-9-14-27(25)28)40(60)46-22-32(55)45-21-26(52)18-31(54)48-35(36(58)30(53)16-8-4-7-13-24-11-5-3-6-12-24)37(59)41(61)49-39-38(64-2)42(62)50-43(39,63)19-34(51)57/h3-15,20,26,29-30,35-39,44,52-53,58-59,63H,16-19,21-23H2,1-2H3,(H,45,55)(H,46,60)(H,47,56)(H,48,54)(H,49,61)(H,50,62)	0.0985242814236635	#	0.0	0.10273972602739725	0.0	0.0	-5.222659796440841	20
628	InChI=1S/C29H36O15/c1-13-22(35)24(37)25(38)29(42-13)44-27-23(36)20(12-41-21(34)7-4-14-2-5-16(30)18(32)10-14)43-28(26(27)39)40-9-8-15-3-6-17(31)19(33)11-15/h2-7,10-11,13,20,22-33,35-39H,8-9,12H2,1H3/b7-4+/t13-,20+,22-,23+,24+,25+,26+,27-,28+,29-/m0/s1	0.00602502	InChI=1S/C42H58N2O14/c1-9-42(52)14-13-22-31(38(51)33-32(36(22)49)37(50)30-21(35(33)48)11-10-12-25(30)45)41(42)58-28-16-24(44(7)8)39(20(4)55-28)56-27-15-23(43(5)6)40(19(3)54-27)57-29-17-26(46)34(47)18(2)53-29/h10-12,18-20,23-24,26-29,34,39-41,45-47,49,51-52H,9,13-17H2,1-8H3	0.0622795473558774	InChI=1S/C41H63ClO14/c1-20-16-27(15-13-12-14-26-18-28(26)42)53-36(44)23(4)41(47)19-30(22(3)31(56-41)21(2)29(17-20)48-9)54-37-35(50-11)40(8,46)33(25(6)52-37)55-38-34(49-10)39(7,45)32(43)24(5)51-38/h13,15,17,21-35,37-38,43,45-47H,16,18-19H2,1-11H3	0.06067354599477671	0.17094017094017094	0.1328125	0.14074074074074075	-5.208208999116836	21
2256	InChI=1S/C21H20O12/c22-6-13-15(27)17(29)18(30)21(32-13)33-20-16(28)14-11(26)4-8(23)5-12(14)31-19(20)7-1-2-9(24)10(25)3-7/h1-5,13,15,17-18,21-27,29-30H,6H2/t13-,15-,17+,18-,21+/m1/s1	0.01471448	InChI=1S/C28H39N3O5/c1-18(2)14-25(34)30-24(16-21-10-12-23(33)13-11-21)27(35)31-26(19(3)4)28(36)29-22(17-32)15-20-8-6-5-7-9-20/h5-13,18-19,22,24,26,32-33H,14-17H2,1-4H3,(H,29,36)(H,30,34)(H,31,35)	0.0329934692910837	InChI=1S/C28H39N3O5/c1-4-9-25(34)30-24(17-21-12-14-23(33)15-13-21)27(35)31-26(19(3)5-2)28(36)29-22(18-32)16-20-10-7-6-8-11-20/h6-8,10-15,19,22,24,26,32-33H,4-5,9,16-18H2,1-3H3,(H,29,36)(H,30,34)(H,31,35)	0.0028504994778473258	0.08791208791208792	0.0851063829787234	0.6666666666666666	-5.18679954356576	22
1780	*	0.031051275	InChI=1S/C13H24N3O4/c1-11(2,3)16(19)13(7)8(17)14-10(18)15-9(13)20-12(4,5)6/h9H,1-7H3,(H2,14,15,17,18)	0.0048845816603002	#	0.0	0.25	0.25	0.0	-5.1772757958492495	23
