row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,LEV623-finale.mzXML Peak area,
2574,111.11677476692219,31.539167,,,,23,,,,,,,7307.559,
7,112.03929819303337,5.5330667,,,,,,,,,,,10964.704,
11,122.05951627060199,6.209883,,,,,,,,,,,8434.2295,
145,122.0597798084459,11.087967,,,,,,,,,,,8648.561,
1407,124.11136591941926,19.16,,,,94,,,,,,,9774.194,
1049,124.11166816104729,17.407667,,,,13,,,,,,,11757.768,
5,136.07593773467588,4.8653336,,,,,,,,,,,2937.1438,
154,141.10367480255593,11.2546,,,,11,,,,,,,4542.918,
39,141.10397988690497,9.0289,,,,109,,,,,,,104822.22,
123,144.07976288013182,10.838683,,,,33,,,,,,,19784.207,
31,144.0803039523646,8.7227,,,,,,,,,,,6671.2114,
142,146.0592848130356,11.0456,,,,159,,,,,,,7040.6284,
2197,149.0231637259939,24.060667,,,,29,,,,,,,10796.135,
2559,149.02361565923403,30.542166,,,,64,,,,,,,190109.98,
48,153.0907213167667,9.229016,,,,,,,,,,,13371.376,
1372,167.0601335397859,18.992167,,,,84,,,,,,,6958.42,
2470,167.07048253226134,27.45,,,,148,,,,,,,3011.7163,
113,169.0758990689338,10.668117,,,,69,,,,,,,103049.695,
78,171.10143385091007,9.994583,,,,136,,,,,,,94114.95,
2198,177.05429816275426,24.060667,,,,29,,,,,,,5216.904,
209,183.09178999372898,12.2581835,,,,114,,,,,,,36230.23,
527,184.13186378849315,14.546133,,,,4,,,,,,,5192.9873,
474,184.13229906863106,14.154217,,,,44,,,,,,,10459.089,
1779,185.07075450621633,21.3975,,,,0,,,,,,,9085.727,
680,186.14806594460765,15.489166,,,,149,,,,,,,8461.179,
1745,187.12528801578384,21.1435,,,,48,,,,,,,16101.484,
2478,191.1423531952391,27.682833,,,,59,27,[M+H]+,,2,2479;2478,190.1351,50687.26,
2459,191.14246103530562,27.177,,,,24,26,[M+H]+,,2,2459;2460,190.13527,36582.414,
2471,195.10154306247497,27.45,,,,148,,,,,,,2582.2002,
1121,196.09715243694373,17.762333,,,,142,,,,,,,8977.328,
2575,199.16894756305854,31.539167,,,,23,,,,,,,10072.804,
1126,200.14312489752598,17.801332,,,,,,,,,,,8013.357,
51,200.16429269410665,9.4383335,,,,,,,,,,,6178.2305,
2560,205.0856978136326,30.542166,,,,64,,,,,,,25035.865,
27,208.09655833607158,8.590433,,,,,,,,,,,7362.6797,
62,208.09698152320107,9.778216,,,,30,,,,,,,6220.036,
783,210.11205475856497,15.883634,,,,61,,,,,,,28590.783,
945,210.11234432076938,16.779833,,,,95,,,,,,,40031.805,
2312,211.08639649573144,24.9505,,,,,,,,,,,6613.4736,
2145,212.08133064000208,23.701,,,,49,,,,,,,21376.414,
2479,213.1243349971836,27.682833,,,,59,27,[M+Na]+,,2,2478;2479,190.1351,18502.77,
2460,213.1245739520006,27.177,,,,24,26,[M+Na]+,,2,2459;2460,190.13527,12288.292,
1567,219.1735166804138,20.058,,,,89,,,,,,,5225.094,
1374,227.08097104854804,18.992167,,,,84,,,,,,,96868.31,
2540,235.16845058320908,29.818666,,,,,,,,,,,3609.1863,
552,237.1375842729048,14.7503,,,,12,,,,,,,5960.4272,
2527,239.11771555308212,29.2295,,,,,,,,,,,2755.9531,
2487,239.16085461383315,27.779,,,,163,,,,,,,29365.096,
1,239.22590793790815,3.7134833,,,,,,,,,,,4616.241,
63,243.14919328736357,9.778216,,,,,,,,,,,9540.675,
2199,245.078283066139,24.060667,,,,29,,,,,,,10309.48,
952,247.12245541672684,16.821,,,,115,,,,,,,279442.5,
1871,249.10191470243794,21.822332,,,,19,,,,,,,16117.289,
2040,249.1022175956369,23.1115,,,,1,11,[M+H]+,,3,2040;2045;2041,248.09462,212104.12,
2513,249.10288130703066,28.552668,,,,,,,,,,,1813.8677,
247,253.133326758889,12.623834,,,,85,,,,,,,84505.71,
267,253.13334276824827,12.863883,,,,141,,,,,,,35413.625,
892,255.18468581777358,16.503216,,,,107,,,,,,,9417.471,
1323,261.1375203480979,18.755833,,,,83,,,,,,,9051.36,
1230,261.1379490163481,18.316334,,,,,,,,,,,25690.17,
1645,263.1173110336169,20.5655,,,,93,,,,,,,17893.312,
1568,264.23138649280395,20.058,,,,89,,,,,,,6792.092,
179,265.16974853372125,11.761683,,,,157,,,,,,,589998.8,
2217,267.1485903171603,24.1835,,,,3,,,,,,,18665.676,
1843,267.1489576697351,21.6535,,,,67,,,,,,,5113.792,
164,267.18422791894585,11.43395,,,,,,,,,,,39293.85,
865,267.1847277481013,16.346016,,,,107,,,,,,,36436.75,
90,267.1851448434256,10.201917,,,,158,,,,,,,55236.27,
720,269.1998842121982,15.652516,,,,92,,,,,,,8304.222,
114,269.2001447893358,10.668117,,,,69,,,,,,,19869.834,
193,269.2002546390944,11.969334,,,,47,,,,,,,12091.419,
2041,271.08375455276706,23.1115,,,,1,11,[M+Na]+,,2,2040;2041,248.09462,23022.822,
982,271.1226564883552,17.023333,,,,54,,,,,,,50081.16,
1349,273.13752454285617,18.832167,,,,138,,,,,,,24549.184,
475,275.15406411387454,14.154217,,,,44,,,,,,,68369.12,
383,277.1689746148869,13.566167,,,,101,,,,,,,11181.523,
2570,277.2155078229453,31.257166,,,,122,34,[M-H2O+H]+,,2,2571;2570,294.21891,10272.442,
2561,279.1593152708184,30.542166,,,,64,33,[M+H]+,,3,2562;2563;2561,278.15172,38039.707,
394,279.18399824993594,13.646317,,,,46,,,,,,,44216.26,
553,279.1841829337543,14.7503,,,,12,,,,,,,33813.727,
252,279.1842196628658,12.709666,,,,144,,,,,,,27155.357,
902,279.1842902706825,16.542566,,,,107,,,,,,,34215.438,
1246,279.18493482389135,18.397667,,,,102,,,,,,,1546090.0,
