formulaRank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	formulaId	alignedFeatureId	mappingFeatureId
1	C15H28NO	[M + H]+	C15H29NO+	12,056	12,056	0,000	4	0,131	3,036	4,004	6,454		239,226	223	585823050382086052	585822184614817394	1
1	C12H26N4O4S	[M + H]+	C12H27N4O4S+	98,724	98,724	0,000	36	0,714	-0,552	4,633	1,322		323,175	246	585823084725049168	585822185734696567	3
1	C17H22N8O2	[M + H]+	C17H23N8O2+	36,302	34,928	1,374	16	0,503	1,132	5,368	6,120		371,196	260	585823089196177573	585822185998937724	4
1	C8H9NO	[M + H]+	C8H10NO+	1,847	1,847	0,000	0	0,000	-2,626	2,626	1,835		136,076	292	585823107487538371	585822186179292801	5
1	C5H5NO2	[M + H]+	C5H6NO2+	1,976	1,976	0,000	0	0,000	-0,525	0,525	-0,043		112,039	332	585823048905690966	585822186313510534	7
1	C16H26NO3	[M + H]+	C16H27NO3+	76,642	75,433	1,210	27	0,535	-2,709	6,156	8,481		281,201	361	585823099287673631	585822186456116875	9
1	C7H7NO	[M + H]+	C7H8NO+	4,923	4,923	0,000	1	0,498	-0,256	3,409	-4,263		122,060	373	585823089250703550	585822186577751696	11
1	C15H24NO5	[M + H]+	C15H25NO5+	145,645	143,575	2,070	29	0,477	-0,043	5,811	8,208		299,175	404	585823115012120257	585822186745523861	13
1	C15H26N2OS	[M + H]+	C15H27N2OS+	39,858	39,858	0,000	17	0,432	1,489	5,753	-10,880		283,181	406	585822999245129423	585822186888130202	14
1	C20H26N2O3	[M + H]+	C20H27N2O3+	69,057	63,178	5,879	24	0,739	-1,242	5,616	-0,813		343,201	446	585823087287769057	585822187018153631	16
1	C20H26N4O4	[M + H]+	C20H27N4O4+	59,717	56,904	2,813	34	0,714	4,389	5,819	6,814		387,205	457	585823145005589428	585822187127205540	20
1	C12H26N4O4S	[M + H]+	C12H27N4O4S+	137,319	137,319	0,000	45	0,743	2,231	5,228	1,941		323,175	489	585823108393508110	585822187261423273	22
1	C12H26N4O3S	[M + H]+	C12H27N4O3S+	58,386	58,386	0,000	33	0,745	-1,810	4,570	1,308		307,180	494	585823057365602553	585822187391446702	24
1	C10H26N4O3S	[M + H]+	C10H27N4O3S+	31,567	30,373	1,194	21	0,777	0,595	6,588	2,796		283,181	504	585823087786891313	585822187508887219	25
1	C21H24N2O2	[M + H]+	C21H25N2O2+	100,394	96,636	3,758	33	0,704	-1,393	4,085	-0,814		337,191	510	585823035072875740	585822187617939128	26
1	C9H11N4O2	[M + H]+	C9H12N4O2+	42,573	42,573	0,000	9	0,638	3,174	4,658	5,204		208,097	515	585823039778885049	585822187756351165	27
1	C21H24N2O5	[M + H]+	C21H25N2O5+	49,842	46,176	3,666	23	0,776	1,837	3,395	0,004		385,176	518	585823143428531015	585822187886374594	30
1	C10H9N	[M + H]+	C10H10N+	21,239	21,239	0,000	3	0,338	-2,056	2,056	-3,302		144,080	523	585823116454960992	585822188008009415	31
1	C18H31N5O4	[M + H]+	C18H32N5O4+	33,801	33,801	0,000	19	0,753	1,930	7,612	7,087		382,248	526	585823021089065555	585822188129644236	34
1	C13H24N6O2	[M + H]+	C13H25N6O2+	116,661	116,661	0,000	28	0,486	2,028	5,484	0,806		297,204	536	585823033281907842	585822188259667665	36
1	C7H12N2O	[M + H]+	C7H13N2O+	1,015	1,015	0,000	0	0,000	12,612	12,612	12,335		141,104	542	585823058984604039	585822188544880347	39
1	C16H24NO3	[M + H]+	C16H25NO3+	76,931	76,087	0,843	29	0,693	-2,812	7,501	7,575		279,185	542	585823098708859615	585822188666515168	40
1	C11H28N4O2S	[M + H]+	C11H29N4O2S+	46,736	46,736	0,000	30	0,581	1,822	4,197	1,836		281,201	542	585823044908519055	585822188771372773	41
1	C25H39NO4	[M + H]+	C25H40NO4+	20,292	20,292	0,000	8	0,656	2,682	3,406	4,960		418,297	542	585823077565371765	585822188855258858	43
1	C27H48N8O7	[M + H]+	C27H49N8O7+	8,965	8,965	0,000	2	0,594	3,009	4,500	-1,695		597,371	542	585823096100002389	585822188955922159	45
1	C16H26NO5	[M + H]+	C16H27NO5+	84,735	83,320	1,415	28	0,601	-0,581	5,947	6,851		313,191	544	585823003145832324	585822189069168372	46
1	C9H12O2	[M + H]+	C9H13O2+	6,686	4,500	2,186	0	0,000	NaN	NaN	-1,869		153,091	554	585823088424425573	585822189178220281	48
1	C9H19N4O	[M + H]+	C9H20N4O+	3,118	3,118	0,000	3	0,192	1,749	9,186	5,632		200,164	566	585822983424214172	585822189283077886	51
1	C18H24N5O2	[M + H]+	C18H25N5O2+	63,987	59,137	4,849	29	0,753	-1,433	6,015	3,449		343,201	574	585823077221438791	585822189425684227	54
1	C17H24N2O4S	[M + H]+	C17H25N2O4S+	61,289	61,289	0,000	41	0,779	-3,477	5,482	-6,809		353,151	577	585823004873885657	585822189526347528	57
1	C18H26NO5	[M + H]+	C18H27NO5+	65,239	63,583	1,656	37	0,703	1,875	3,344	7,905		337,191	580	585823000021075715	585822189618622221	59
1	C15H32N4O7S	[M + H]+	C15H33N4O7S+	80,986	80,986	0,000	31	0,827	-0,307	3,763	1,218		413,207	580	585823131474764136	585822189715091218	60
1	C9H11N4O2	[M + H]+	C9H12N4O2+	30,934	30,934	0,000	7	0,363	-3,091	6,612	7,222		208,097	587	585823076252554507	585822189811560215	62
1	C15H18N2O	[M + H]+	C15H19N2O+	25,292	22,018	3,274	3	0,419	-2,428	3,154	0,001		243,149	587	585823114252951151	585822189903834908	63
1	C15H28N3O3S	[M + H]+	C15H29N3O3S+	61,886	61,886	0,000	36	0,702	-2,455	4,472	-1,402		331,192	589	585823119432916986	585822190017081121	68
1	C30H48N10O7	[M + H]+	C30H49N10O7+	87,062	83,594	3,468	47	0,857	-3,579	5,337	-6,502		661,374	589	585823144858788749	585822190109355814	69
1	C21H26N2O4	[M + H]+	C21H27N2O4+	68,646	63,566	5,080	32	0,678	1,755	6,572	-1,923		371,196	592	585823031159589953	585822190222602027	73
1	C9H14O3	[M + H]+	C9H15O3+	48,570	45,197	3,373	5	0,499	-0,219	3,447	-0,823		171,101	600	585823111287578071	585822190331653936	78
1	C13H30NO5S	[M + H]+	C13H31NO5S+	94,624	94,624	0,000	27	0,627	5,765	6,186	-2,859		313,191	600	585823128731689238	585822190444900149	79
1	C21H24N2O5	[M + H]+	C21H25N2O5+	94,171	88,421	5,750	31	0,735	0,389	6,382	1,458		385,176	604	585823131625759108	585822190545563450	83
1	C19H22N5O3	[M + H]+	C19H23N5O3+	69,583	66,583	3,001	36	0,781	0,417	4,284	4,792		369,181	607	585823048192659236	585822190650421055	85
