formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	formulaId	alignedFeatureId	mappingFeatureId
1	C15H28NO	[M + H]+	C15H29NO+	Alkaloids	0,655	Pseudoalkaloids (transamidation)	0,446	Quinolizidine alkaloids	0,313	Organic nitrogen compounds	1,000	Organonitrogen compounds	1,000	Amines	0,536			Amines	0,536	Organic compounds; Organonitrogen compounds; Organooxygen compounds; Amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	239,226	223	585823050382086052	585822184614817394	1
1	C12H26N4O4S	[M + H]+	C12H27N4O4S+	Alkaloids	0,646	Histidine alkaloids	0,608	Imidazole alkaloids	0,607	Organoheterocyclic compounds	0,885	Thiolanes	0,565					Thiolanes	0,565	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Thiolanes; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carbonyl compounds; Azolidines; Dialkylthioethers; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	323,175	246	585823084725049168	585822185734696567	3
1	C17H22N8O2	[M + H]+	C17H23N8O2+	Alkaloids	0,395	Small peptides	0,068	Purine alkaloids	0,109	Organic acids and derivatives	0,808	Carboxylic acids and derivatives	0,737	Amino acids, peptides, and analogues	0,642	Amino acids and derivatives	0,641	Amino acids and derivatives	0,641	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Piperidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Diazines; Amines; Primary amines; Tertiary amines; Tertiary alkylarylamines; Imidolactams; Dialkylarylamines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	371,196	260	585823089196177573	585822185998937724	4
1	C16H26NO3	[M + H]+	C16H27NO3+	Alkaloids	0,941	Tryptophan alkaloids	0,410	Terpenoid alkaloids	0,105	Organic acids and derivatives	0,848	Carboxylic acids and derivatives	0,858	Amino acids, peptides, and analogues	0,670	Amino acids and derivatives	0,671	Amino acids and derivatives	0,671	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alcohols and polyols; Piperidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Alkaloids and derivatives; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Trialkylamines; Amines; Tertiary amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	281,201	361	585823099287673631	585822186456116875	9
1	C15H24NO5	[M + H]+	C15H25NO5+	Alkaloids	0,584	Lysine alkaloids	0,483	Piperidine alkaloids	0,673	Lipids and lipid-like molecules	0,573							Lipids and lipid-like molecules	0,573	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Secondary alcohols; Carbonyl compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	299,175	404	585823115012120257	585822186745523861	13
1	C15H26N2OS	[M + H]+	C15H27N2OS+	Alkaloids	0,838	Linear polyketides	0,189	Imidazole alkaloids	0,125	Benzenoids	0,656	Benzene and substituted derivatives	0,506					Benzene and substituted derivatives	0,506	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organonitrogen compounds; Organooxygen compounds; Benzene and substituted derivatives; Benzenoids; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	283,181	406	585822999245129423	585822186888130202	14
1	C20H26N2O3	[M + H]+	C20H27N2O3+	Alkaloids	1,000	Tryptophan alkaloids	0,992	Corynanthe type	0,703	Alkaloids and derivatives	0,969	Ajmaline-sarpagine alkaloids	0,690					Ajmaline-sarpagine alkaloids	0,690	Organic compounds; Organoheterocyclic compounds; Pyrroles; Alkyl aryl ethers; Alcohols and polyols; Anisoles; Piperidines; Indoles and derivatives; Quinuclidines; Ethers; Organonitrogen compounds; Alkaloids and derivatives; Organooxygen compounds; Pyridoindoles; Ajmaline-sarpagine alkaloids; Beta carbolines; Trialkylamines; Phenol ethers; Benzenoids; Amines; Tertiary amines; Indoles; Aralkylamines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; 3-alkylindoles; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	343,201	446	585823087287769057	585822187018153631	16
1	C20H26N4O4	[M + H]+	C20H27N4O4+	Alkaloids	0,849	Tryptophan alkaloids	0,843	Carboline alkaloids	0,250	Organic acids and derivatives	0,961	Carboxylic acids and derivatives	0,950	Amino acids, peptides, and analogues	0,847	Amino acids and derivatives	0,842	Alpha amino acids and derivatives	0,760	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrroles; Indoles and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Benzenoids; Amines; Indoles; Aralkylamines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; 3-alkylindoles; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	387,205	457	585823145005589428	585822187127205540	20
1	C12H26N4O4S	[M + H]+	C12H27N4O4S+	Alkaloids	0,926	Histidine alkaloids	0,948	Imidazole alkaloids	0,948	Organoheterocyclic compounds	0,860	Biotin and derivatives	0,782					Biotin and derivatives	0,782	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Thiolanes; Biotin and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Thioethers; Carboxylic acids; Thia fatty acids; Carbonyl compounds; Heterocyclic fatty acids; Azolidines; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Dialkylthioethers; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	323,175	489	585823108393508110	585822187261423273	22
1	C12H26N4O3S	[M + H]+	C12H27N4O3S+	Alkaloids	0,407	Histidine alkaloids	0,336	Imidazole alkaloids	0,336	Organoheterocyclic compounds	0,763	Azacyclic compounds	0,601					Azacyclic compounds	0,601	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organonitrogen compounds; Organooxygen compounds; Amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	307,180	494	585823057365602553	585822187391446702	24
